src,dst,edge_type,times_traversed,times_cross_zone,risk_level
ASN,BWN,SCHED_DEP,13,0,cascade
ASN,HWH,SCHED_DEP,19,0,cascade
ASN,DHN,SCHED_DEP,4,4,cross_zone
ASN,MLDT,SCHED_DEP,11,0,cascade
ASN,PRYJ,RS_DEP,7,7,cross_zone
ASN,UMB,RS_DEP,8,8,cross_zone
ASN,ERS,RS_DEP,0,0,normal
ASN,JHS,RS_DEP,7,7,cross_zone
ASN,GHY,RS_DEP,2,2,cross_zone
ASN,UBL,RS_DEP,1,1,cross_zone
ASN,MS,RS_DEP,8,8,cross_zone
BWN,MLDT,SCHED_DEP,7,0,cascade
BWN,HWH,SCHED_DEP,9,0,cascade
BWN,BZA,RS_DEP,0,0,normal
BWN,PRYJ,RS_DEP,0,0,normal
BWN,TPJ,RS_DEP,0,0,normal
BWN,ADI,RS_DEP,1,1,cross_zone
BWN,MDU,RS_DEP,13,13,cross_zone
BWN,AGC,RS_DEP,8,8,cross_zone
BWN,DLI,RS_DEP,1,1,cross_zone
MLDT,BWN,SCHED_DEP,10,0,cascade
MLDT,HWH,SCHED_DEP,29,0,cascade
MLDT,NJP,SCHED_DEP,95,95,cross_zone
MLDT,ASN,SCHED_DEP,32,0,cascade
MLDT,SDAH,SCHED_DEP,43,0,cascade
PNBE,MFP,SCHED_DEP,95,0,cascade
PNBE,GAYA,SCHED_DEP,13,0,cascade
PNBE,DHN,SCHED_DEP,39,0,cascade
PNBE,PRYJ,SCHED_DEP,120,120,cross_zone
PNBE,KGP,SCHED_DEP,69,69,cross_zone
PNBE,GKP,SCHED_DEP,70,70,cross_zone
PNBE,GHY,RS_DEP,9,9,cross_zone
PNBE,SUR,RS_DEP,5,5,cross_zone
PNBE,JU,RS_DEP,14,14,cross_zone
MFP,PNBE,SCHED_DEP,39,0,cascade
MFP,MS,RS_DEP,0,0,normal
MFP,UMB,RS_DEP,0,0,normal
MFP,BCT,RS_DEP,1,1,cross_zone
MFP,BSP,RS_DEP,4,4,cross_zone
MFP,ADI,RS_DEP,4,4,cross_zone
GAYA,DHN,SCHED_DEP,11,0,cascade
GAYA,SDAH,RS_DEP,7,7,cross_zone
DHN,MFP,RS_DEP,6,0,cascade
DHN,PNBE,SCHED_DEP,6,0,cascade
DHN,ASN,SCHED_DEP,9,9,cross_zone
DHN,HWH,RS_DEP,3,3,cross_zone
DHN,JBP,RS_DEP,7,7,cross_zone
BBS,PURI,SCHED_DEP,21,0,cascade
BBS,CTC,SCHED_DEP,146,0,cascade
BBS,VSKP,SCHED_DEP,67,0,cascade
BBS,BCT,SCHED_DEP,114,114,cross_zone
BBS,KYN,SCHED_DEP,56,56,cross_zone
BBS,MYS,RS_DEP,4,4,cross_zone
BBS,UMB,RS_DEP,0,0,normal
BBS,ADI,RS_DEP,7,7,cross_zone
BBS,LDH,RS_DEP,0,0,normal
PURI,BAM,SCHED_DEP,36,0,cascade
PURI,BBS,SCHED_DEP,20,0,cascade
CTC,BBS,SCHED_DEP,13,0,cascade
CTC,BBS,RS_DEP,19,0,cascade
CTC,PUNE,RS_DEP,10,10,cross_zone
CTC,ASN,RS_DEP,8,8,cross_zone
CTC,MDU,RS_DEP,10,10,cross_zone
CTC,DLI,RS_DEP,9,9,cross_zone
VSKP,BAM,SCHED_DEP,21,0,cascade
VSKP,BBS,SCHED_DEP,158,0,cascade
VSKP,BZA,SCHED_DEP,70,70,cross_zone
VSKP,NDLS,SCHED_DEP,158,158,cross_zone
VSKP,MAS,SCHED_DEP,94,94,cross_zone
VSKP,MAS,RS_DEP,0,0,normal
VSKP,ERS,RS_DEP,14,14,cross_zone
VSKP,JP,RS_DEP,5,5,cross_zone
BAM,VSKP,SCHED_DEP,42,0,cascade
BAM,PURI,SCHED_DEP,25,0,cascade
NDLS,UMB,SCHED_DEP,7,0,cascade
NDLS,DLI,SCHED_DEP,133,0,cascade
NDLS,LDH,SCHED_DEP,37,0,cascade
NDLS,ASR,SCHED_DEP,44,0,cascade
NDLS,PRYJ,SCHED_DEP,158,158,cross_zone
NDLS,COR,SCHED_DEP,136,136,cross_zone
NDLS,SDAH,SCHED_DEP,177,177,cross_zone
NDLS,VSKP,SCHED_DEP,158,158,cross_zone
NDLS,MDU,RS_DEP,8,8,cross_zone
NDLS,MYS,RS_DEP,4,4,cross_zone
NDLS,BSP,RS_DEP,14,14,cross_zone
DLI,NDLS,SCHED_DEP,70,0,cascade
DLI,CSMT,SCHED_DEP,60,60,cross_zone
DLI,NGP,SCHED_DEP,37,37,cross_zone
DLI,MYS,RS_DEP,9,9,cross_zone
DLI,CBE,RS_DEP,0,0,normal
DLI,ASR,RS_DEP,9,0,cascade
DLI,ERS,RS_DEP,0,0,normal
DLI,ST,RS_DEP,13,13,cross_zone
UMB,LDH,SCHED_DEP,11,0,cascade
UMB,NDLS,SCHED_DEP,46,0,cascade
UMB,JBP,RS_DEP,0,0,normal
LDH,ASR,RS_DEP,11,0,cascade
LDH,UMB,SCHED_DEP,11,0,cascade
LDH,NDLS,SCHED_DEP,9,0,cascade
LDH,MAO,RS_DEP,1,1,cross_zone
LDH,AII,RS_DEP,1,1,cross_zone
LDH,TVC,RS_DEP,1,1,cross_zone
ASR,NDLS,SCHED_DEP,56,0,cascade
ASR,UBL,RS_DEP,6,6,cross_zone
ASR,TVC,RS_DEP,12,12,cross_zone
ASR,ERS,RS_DEP,9,9,cross_zone
PRYJ,JHS,SCHED_DEP,32,0,cascade
PRYJ,AGC,SCHED_DEP,50,0,cascade
PRYJ,PNBE,SCHED_DEP,160,160,cross_zone
PRYJ,NDLS,SCHED_DEP,168,168,cross_zone
PRYJ,BSP,SCHED_DEP,33,33,cross_zone
PRYJ,PUNE,SCHED_DEP,54,54,cross_zone
PRYJ,BWN,RS_DEP,5,5,cross_zone
PRYJ,BBS,RS_DEP,5,5,cross_zone
PRYJ,HWH,RS_DEP,0,0,normal
PRYJ,CBE,RS_DEP,0,0,normal
AGC,JHS,SCHED_DEP,2,0,cascade
AGC,PRYJ,SCHED_DEP,13,0,cascade
AGC,CBE,RS_DEP,1,1,cross_zone
AGC,ASR,RS_DEP,6,6,cross_zone
AGC,KGP,RS_DEP,17,17,cross_zone
JHS,PRYJ,SCHED_DEP,30,0,cascade
JHS,BPL,SCHED_DEP,34,34,cross_zone
JHS,MYS,RS_DEP,22,22,cross_zone
JHS,UMB,RS_DEP,6,6,cross_zone
JHS,MAS,RS_DEP,2,2,cross_zone
JHS,R,RS_DEP,1,1,cross_zone
JHS,BSL,RS_DEP,0,0,normal
GKP,MFP,SCHED_DEP,26,26,cross_zone
GKP,PNBE,SCHED_DEP,60,60,cross_zone
GKP,GHY,SCHED_DEP,45,45,cross_zone
GKP,ASN,RS_DEP,0,0,normal
GKP,NJP,RS_DEP,6,6,cross_zone
GHY,NJP,SCHED_DEP,118,0,cascade
GHY,GKP,SCHED_DEP,44,44,cross_zone
GHY,GKP,RS_DEP,10,10,cross_zone
GHY,ADI,SCHED_DEP,127,127,cross_zone
GHY,ERS,RS_DEP,2,2,cross_zone
GHY,GHY,RS_DEP,0,0,normal
GHY,UMB,RS_DEP,0,0,normal
GHY,VSKP,RS_DEP,7,7,cross_zone
NJP,GHY,SCHED_DEP,80,0,cascade
NJP,MLDT,SCHED_DEP,86,86,cross_zone
NJP,COR,RS_DEP,0,0,normal
NJP,DURG,RS_DEP,9,9,cross_zone
NJP,VSKP,RS_DEP,6,6,cross_zone
NJP,BCT,RS_DEP,6,6,cross_zone
NJP,BZA,RS_DEP,0,0,normal
NJP,ERS,RS_DEP,3,3,cross_zone
NJP,AII,RS_DEP,0,0,normal
NJP,NDLS,RS_DEP,0,0,normal
NJP,AGC,RS_DEP,0,0,normal
JP,AII,SCHED_DEP,59,0,cascade
JP,JU,SCHED_DEP,92,0,cascade
JP,COR,SCHED_DEP,75,75,cross_zone
JP,KYN,SCHED_DEP,112,112,cross_zone
JP,TVC,SCHED_DEP,61,61,cross_zone
JP,BZA,RS_DEP,14,14,cross_zone
JP,DURG,RS_DEP,1,1,cross_zone
JP,MYS,RS_DEP,8,8,cross_zone
JP,KGP,RS_DEP,11,11,cross_zone
JU,JP,SCHED_DEP,17,0,cascade
JU,AII,RS_DEP,0,0,normal
JU,LDH,RS_DEP,3,3,cross_zone
JU,DURG,RS_DEP,4,4,cross_zone
JU,SDAH,RS_DEP,0,0,normal
AII,JP,SCHED_DEP,34,0,cascade
AII,VSKP,RS_DEP,15,15,cross_zone
AII,AII,RS_DEP,5,0,cascade
MAS,MS,SCHED_DEP,76,0,cascade
MAS,TPJ,SCHED_DEP,24,0,cascade
MAS,MDU,SCHED_DEP,66,0,cascade
MAS,CBE,SCHED_DEP,53,0,cascade
MAS,TVC,SCHED_DEP,41,0,cascade
MAS,ERS,SCHED_DEP,51,0,cascade
MAS,SC,SCHED_DEP,136,136,cross_zone
MAS,VSKP,SCHED_DEP,83,83,cross_zone
MAS,KGP,SCHED_DEP,198,198,cross_zone
MAS,BZA,RS_DEP,2,2,cross_zone
MAS,MAO,RS_DEP,12,12,cross_zone
MAS,ASR,RS_DEP,1,1,cross_zone
MAS,GKP,RS_DEP,15,15,cross_zone
MS,MAS,SCHED_DEP,33,0,cascade
MS,BZA,RS_DEP,3,3,cross_zone
MS,ADI,RS_DEP,3,3,cross_zone
MS,KYN,RS_DEP,0,0,normal
TPJ,MDU,SCHED_DEP,4,0,cascade
TPJ,MAS,SCHED_DEP,5,0,cascade
TPJ,VSKP,RS_DEP,5,5,cross_zone
TPJ,SUR,RS_DEP,2,2,cross_zone
MDU,MAS,SCHED_DEP,41,0,cascade
MDU,TVC,SCHED_DEP,6,0,cascade
MDU,PURI,RS_DEP,11,11,cross_zone
MDU,SDAH,RS_DEP,2,2,cross_zone
MDU,BSP,RS_DEP,0,0,normal
MDU,MAO,RS_DEP,0,0,normal
CBE,TVC,SCHED_DEP,2,0,cascade
CBE,MAS,SCHED_DEP,13,0,cascade
CBE,ASN,RS_DEP,15,15,cross_zone
CBE,MFP,RS_DEP,9,9,cross_zone
TVC,MAS,SCHED_DEP,22,0,cascade
TVC,MDU,SCHED_DEP,35,0,cascade
TVC,JP,SCHED_DEP,86,86,cross_zone
TVC,NDLS,RS_DEP,7,7,cross_zone
TVC,BSP,RS_DEP,3,3,cross_zone
TVC,MYS,RS_DEP,3,3,cross_zone
TVC,R,RS_DEP,0,0,normal
TVC,JHS,RS_DEP,0,0,normal
ERS,TVC,SCHED_DEP,32,0,cascade
ERS,MAS,SCHED_DEP,61,0,cascade
ERS,PUNE,RS_DEP,9,9,cross_zone
ERS,CTC,RS_DEP,0,0,normal
ERS,MYS,RS_DEP,0,0,normal
ERS,CSMT,RS_DEP,5,5,cross_zone
SC,HYB,SCHED_DEP,111,0,cascade
SC,BZA,SCHED_DEP,46,0,cascade
SC,SBC,SCHED_DEP,92,92,cross_zone
SC,MAS,SCHED_DEP,187,187,cross_zone
SC,CSMT,SCHED_DEP,72,72,cross_zone
SC,PURI,RS_DEP,15,15,cross_zone
SC,GKP,RS_DEP,10,10,cross_zone
SC,CTC,RS_DEP,7,7,cross_zone
HYB,SC,SCHED_DEP,15,0,cascade
HYB,R,RS_DEP,9,9,cross_zone
HYB,JBP,RS_DEP,9,9,cross_zone
HYB,PUNE,RS_DEP,16,16,cross_zone
HYB,TATA,RS_DEP,4,4,cross_zone
BZA,SC,SCHED_DEP,40,0,cascade
BZA,VSKP,SCHED_DEP,34,34,cross_zone
BZA,PUNE,SCHED_DEP,20,20,cross_zone
BZA,BPL,SCHED_DEP,68,68,cross_zone
BZA,TVC,RS_DEP,14,14,cross_zone
BZA,BZA,RS_DEP,18,0,cascade
BSP,R,SCHED_DEP,33,0,cascade
BSP,DURG,SCHED_DEP,9,0,cascade
BSP,NGP,SCHED_DEP,12,12,cross_zone
BSP,ROU,SCHED_DEP,60,60,cross_zone
BSP,JBP,SCHED_DEP,46,46,cross_zone
BSP,PRYJ,SCHED_DEP,60,60,cross_zone
BSP,LDH,RS_DEP,6,6,cross_zone
BSP,SUR,RS_DEP,1,1,cross_zone
BSP,BSP,RS_DEP,0,0,normal
BSP,SC,RS_DEP,0,0,normal
R,BSP,SCHED_DEP,15,0,cascade
R,NGP,SCHED_DEP,17,17,cross_zone
R,NDLS,RS_DEP,3,3,cross_zone
R,BWN,RS_DEP,2,2,cross_zone
DURG,R,SCHED_DEP,8,0,cascade
DURG,BSP,SCHED_DEP,21,0,cascade
KGP,TATA,SCHED_DEP,19,0,cascade
KGP,TATA,RS_DEP,0,0,normal
KGP,ROU,SCHED_DEP,24,0,cascade
KGP,HWH,SCHED_DEP,188,188,cross_zone
KGP,MAS,SCHED_DEP,168,168,cross_zone
KGP,MAS,RS_DEP,0,0,normal
KGP,PNBE,SCHED_DEP,72,72,cross_zone
KGP,BPL,RS_DEP,0,0,normal
KGP,HYB,RS_DEP,0,0,normal
KGP,PURI,RS_DEP,12,12,cross_zone
KGP,JBP,RS_DEP,10,10,cross_zone
TATA,ROU,SCHED_DEP,8,0,cascade
TATA,KGP,SCHED_DEP,11,0,cascade
TATA,MS,RS_DEP,2,2,cross_zone
TATA,VSKP,RS_DEP,13,13,cross_zone
ROU,TATA,SCHED_DEP,14,0,cascade
ROU,KGP,SCHED_DEP,74,0,cascade
ROU,BSP,SCHED_DEP,54,54,cross_zone
SBC,MYS,SCHED_DEP,39,0,cascade
SBC,UBL,SCHED_DEP,18,0,cascade
SBC,SC,SCHED_DEP,115,115,cross_zone
SBC,BPL,SCHED_DEP,60,60,cross_zone
SBC,BPL,RS_DEP,0,0,normal
SBC,ST,RS_DEP,6,6,cross_zone
SBC,ERS,RS_DEP,12,12,cross_zone
SBC,NJP,RS_DEP,12,12,cross_zone
SBC,BCT,RS_DEP,13,13,cross_zone
UBL,MYS,SCHED_DEP,15,0,cascade
UBL,SBC,SCHED_DEP,33,0,cascade
UBL,MAO,SCHED_DEP,28,28,cross_zone
MYS,UBL,SCHED_DEP,10,0,cascade
MYS,SBC,SCHED_DEP,66,0,cascade
MYS,SBC,RS_DEP,7,0,cascade
MYS,BPL,RS_DEP,7,7,cross_zone
MYS,GKP,RS_DEP,0,0,normal
MYS,PRYJ,RS_DEP,7,7,cross_zone
BCT,ADI,SCHED_DEP,49,0,cascade
BCT,ST,SCHED_DEP,49,0,cascade
BCT,RTM,SCHED_DEP,11,0,cascade
BCT,NGP,SCHED_DEP,81,81,cross_zone
BCT,BBS,SCHED_DEP,134,134,cross_zone
BCT,JBP,RS_DEP,8,8,cross_zone
BCT,MS,RS_DEP,0,0,normal
BCT,AII,RS_DEP,4,4,cross_zone
BCT,SDAH,RS_DEP,2,2,cross_zone
BCT,NDLS,RS_DEP,18,18,cross_zone
ADI,BCT,SCHED_DEP,65,0,cascade
ADI,RTM,SCHED_DEP,17,0,cascade
ADI,ST,SCHED_DEP,33,0,cascade
ADI,GHY,SCHED_DEP,136,136,cross_zone
ADI,JBP,SCHED_DEP,4,4,cross_zone
ADI,AII,RS_DEP,0,0,normal
ADI,SBC,RS_DEP,3,3,cross_zone
ADI,UBL,RS_DEP,2,2,cross_zone
ADI,CSMT,RS_DEP,1,1,cross_zone
ADI,PRYJ,RS_DEP,9,9,cross_zone
ADI,BSL,RS_DEP,8,8,cross_zone
ST,BCT,SCHED_DEP,28,0,cascade
ST,RTM,SCHED_DEP,13,0,cascade
ST,SC,RS_DEP,3,3,cross_zone
ST,DURG,RS_DEP,1,1,cross_zone
RTM,ST,SCHED_DEP,19,0,cascade
RTM,BCT,SCHED_DEP,18,0,cascade
RTM,COR,SCHED_DEP,59,59,cross_zone
RTM,ERS,RS_DEP,9,9,cross_zone
RTM,BPL,RS_DEP,18,18,cross_zone
RTM,MS,RS_DEP,0,0,normal
JBP,BPL,SCHED_DEP,22,0,cascade
JBP,COR,SCHED_DEP,50,0,cascade
JBP,BSP,SCHED_DEP,9,9,cross_zone
JBP,ADI,SCHED_DEP,119,119,cross_zone
JBP,KGP,RS_DEP,5,5,cross_zone
JBP,UBL,RS_DEP,1,1,cross_zone
BPL,COR,SCHED_DEP,103,0,cascade
BPL,JBP,SCHED_DEP,36,0,cascade
BPL,JHS,SCHED_DEP,95,95,cross_zone
BPL,NGP,SCHED_DEP,35,35,cross_zone
BPL,BZA,SCHED_DEP,32,32,cross_zone
BPL,SBC,SCHED_DEP,81,81,cross_zone
BPL,AGC,RS_DEP,0,0,normal
BPL,SC,RS_DEP,10,10,cross_zone
BPL,HWH,RS_DEP,11,11,cross_zone
BPL,KYN,RS_DEP,5,5,cross_zone
COR,BPL,SCHED_DEP,95,0,cascade
COR,JBP,SCHED_DEP,44,0,cascade
COR,RTM,SCHED_DEP,92,92,cross_zone
COR,NDLS,SCHED_DEP,85,85,cross_zone
COR,JP,SCHED_DEP,144,144,cross_zone
COR,PUNE,RS_DEP,7,7,cross_zone
COR,BSP,RS_DEP,0,0,normal
COR,NGP,RS_DEP,1,1,cross_zone
COR,NJP,RS_DEP,12,12,cross_zone
MAO,UBL,SCHED_DEP,33,33,cross_zone
MAO,KYN,SCHED_DEP,55,55,cross_zone
MAO,KYN,RS_DEP,3,3,cross_zone
MAO,PURI,RS_DEP,0,0,normal
MAO,NJP,RS_DEP,1,1,cross_zone
