train_number,station_id,initial_delay_minutes,cascade_depth,affected_trains_count,delay_spread_minutes,cross_zone_propagation,event_id,frontier_checks
12111,NDLS,107.0,9,1,655.5,1,EVT000160,[]
12102,BBS,29.0,0,0,29.0,0,EVT000161,[]
12231,ADI,17.0,0,0,17.0,0,EVT000162,[]
12127,GHY,1.0,0,0,1.0,0,EVT000163,[]
12203,NDLS,29.0,4,0,114.1,1,EVT000164,[]
12309,PNBE,51.0,3,0,179.1,1,EVT000165,[]
12037,PNBE,63.0,5,1,215.8,1,EVT000166,[]
12211,COR,30.0,2,0,80.9,1,EVT000167,[]
12177,HWH,70.0,2,0,195.0,1,EVT000168,[]
12290,ERS,23.0,0,0,23.0,0,EVT000169,[]
12156,COR,87.0,0,0,87.0,0,EVT000170,[]
12131,TPJ,1.0,0,0,1.0,0,EVT000171,[]
12121,PUNE,42.0,1,0,80.9,0,EVT000172,[]
12174,MAS,83.0,2,0,232.1,1,EVT000173,[]
12188,BPL,15.0,4,0,50.7,1,EVT000174,[]
12096,SBC,1.0,0,0,1.0,0,EVT000175,[]
12007,JP,15.0,3,0,45.6,1,EVT000176,[]
12235,NGP,63.0,6,1,314.6,1,EVT000177,[]
12271,CBE,56.0,4,0,236.2,1,EVT000178,[]
12071,JP,76.0,10,1,415.7,1,EVT000179,[]
12080,NDLS,1.0,0,0,1.0,0,EVT000180,[]
12244,UBL,1.0,0,0,1.0,0,EVT000181,[]
12151,CSMT,51.0,2,0,140.8,1,EVT000182,[]
12247,ERS,58.0,5,0,281.6,1,EVT000183,[]
12166,NGP,50.0,8,1,252.9,1,EVT000184,[]
12244,MAO,8.0,1,0,13.7,1,EVT000185,[]
12128,MFP,47.0,0,0,47.0,0,EVT000186,[]
12217,MAS,1.0,0,0,1.0,0,EVT000187,[]
12264,KYN,21.0,0,0,21.0,0,EVT000188,[]
12108,BBS,16.0,2,0,41.0,1,EVT000189,[]
12139,CTC,21.0,1,1,26.8,0,EVT000190,[]
12167,NGP,40.0,1,0,77.0,1,EVT000191,[]
12311,TATA,30.0,0,0,30.0,0,EVT000192,[]
12036,BWN,79.0,6,1,356.5,1,EVT000193,[]
12259,PNBE,47.0,8,1,247.3,1,EVT000194,[]
12158,SBC,30.0,3,1,66.8,1,EVT000195,[]
12309,MAS,55.0,1,0,106.3,0,EVT000196,[]
12193,BSP,32.0,0,0,32.0,0,EVT000197,[]
12277,ASR,41.0,0,0,41.0,0,EVT000198,[]
12034,SUR,59.0,4,1,189.3,1,EVT000199,[]
12007,JP,9.0,1,0,15.6,1,EVT000200,[]
12092,KYN,1.0,0,0,1.0,0,EVT000201,[]
12126,NDLS,1.0,0,0,1.0,0,EVT000202,[]
12199,MYS,54.0,10,1,319.1,1,EVT000203,[]
12103,NDLS,29.0,2,0,78.1,1,EVT000204,[]
12313,COR,1.0,0,0,1.0,0,EVT000205,[]
12270,PRYJ,20.0,3,0,64.1,1,EVT000206,[]
12291,ASR,2.0,0,0,2.0,0,EVT000207,[]
12197,MS,3.0,0,0,3.0,0,EVT000208,[]
12062,NDLS,1.0,0,0,1.0,0,EVT000209,[]
12039,BPL,18.0,3,0,56.7,1,EVT000210,[]
12229,GHY,1.0,0,0,1.0,0,EVT000211,[]
12116,KGP,31.0,2,0,83.8,1,EVT000212,[]
12138,ADI,1.0,0,0,1.0,0,EVT000213,[]
12213,NGP,1.0,0,0,1.0,0,EVT000214,[]
12304,SC,26.0,2,0,69.5,1,EVT000215,[]
12174,BBS,63.0,0,0,63.0,0,EVT000216,[]
12295,HWH,66.0,5,1,267.9,1,EVT000217,[]
12117,COR,17.0,3,0,53.0,1,EVT000218,[]
12153,BZA,47.0,4,1,145.8,1,EVT000219,[]
12214,BBS,1.0,0,0,1.0,0,EVT000220,[]
12057,BZA,70.0,8,1,388.5,1,EVT000221,[]
12221,JHS,16.0,3,0,49.3,1,EVT000222,[]
12163,PRYJ,27.0,2,0,72.4,1,EVT000223,[]
12211,BPL,1.0,0,0,1.0,0,EVT000224,[]
12107,SC,34.0,2,0,92.3,1,EVT000225,[]
12163,PRYJ,56.0,2,0,155.1,1,EVT000226,[]
12176,JBP,30.0,2,0,80.9,1,EVT000227,[]
12153,SC,46.0,3,0,160.6,1,EVT000228,[]
12231,GHY,8.0,1,0,14.6,1,EVT000229,[]
12068,NGP,77.0,1,0,149.2,0,EVT000230,[]
12137,SC,53.0,1,0,102.4,1,EVT000231,[]
12261,HWH,14.0,4,0,46.2,1,EVT000232,[]
12213,CSMT,113.0,6,1,581.5,1,EVT000233,[]
12284,SDAH,4.0,0,0,4.0,0,EVT000234,[]
12094,BSP,1.0,0,0,1.0,0,EVT000235,[]
12292,HYB,8.0,0,0,8.0,0,EVT000236,[]
12114,NDLS,13.0,3,0,38.2,1,EVT000237,[]
12123,SC,1.0,0,0,1.0,0,EVT000238,[]
12184,BWN,21.0,5,0,85.5,1,EVT000239,[]
12271,MAS,77.0,3,0,275.6,1,EVT000240,[]
12026,LDH,25.0,0,0,25.0,0,EVT000241,[]
12243,DLI,33.0,0,0,33.0,0,EVT000242,[]
12228,TVC,6.0,0,0,6.0,0,EVT000243,[]
12299,NDLS,22.0,1,0,42.0,0,EVT000244,[]
12187,PRYJ,44.0,2,0,120.9,1,EVT000245,[]
12149,KYN,57.0,2,0,157.9,1,EVT000246,[]
12268,SUR,13.0,3,0,37.2,1,EVT000247,[]
12224,JP,25.0,5,0,106.7,1,EVT000248,[]
12239,DLI,33.0,3,0,112.4,1,EVT000249,[]
12283,ASR,46.0,3,0,160.6,1,EVT000250,[]
12201,MLDT,32.0,4,1,82.9,1,EVT000251,[]
12311,TATA,11.0,0,0,11.0,0,EVT000252,[]
12292,BZA,1.0,0,0,1.0,0,EVT000253,[]
12017,UMB,67.0,0,0,67.0,0,EVT000254,[]
12210,PUNE,1.0,0,0,1.0,0,EVT000255,[]
12162,TPJ,60.0,5,0,292.2,1,EVT000256,[]
12315,MAS,43.0,7,1,184.0,1,EVT000257,[]
12053,PRYJ,25.0,2,0,66.7,1,EVT000258,[]
12018,VSKP,36.0,1,0,69.2,0,EVT000259,[]
12199,SC,1.0,0,0,1.0,0,EVT000260,[]
12053,JP,21.0,5,0,85.5,1,EVT000261,[]
12194,NDLS,15.0,1,0,28.3,1,EVT000262,[]
12012,MAO,1.0,0,0,1.0,0,EVT000263,[]
12038,MAS,31.0,1,0,59.5,0,EVT000264,[]
12108,BBS,36.0,2,0,98.0,1,EVT000265,[]
12034,BZA,48.0,7,1,218.0,1,EVT000266,[]
12264,KYN,31.0,0,0,31.0,0,EVT000267,[]
12222,BSP,66.0,2,0,183.6,1,EVT000268,[]
12101,KGP,31.0,3,1,73.7,1,EVT000269,[]
12033,CSMT,10.0,2,0,23.9,1,EVT000270,[]
12296,AGC,36.0,4,1,101.5,1,EVT000271,[]
12092,JU,15.0,0,0,15.0,0,EVT000272,[]
12056,JP,28.0,2,0,75.2,1,EVT000273,[]
12220,MAS,31.0,3,0,104.9,1,EVT000274,[]
12116,NGP,29.0,5,0,127.9,1,EVT000275,[]
12027,RTM,1.0,0,0,1.0,0,EVT000276,[]
12086,VSKP,18.0,1,0,34.1,1,EVT000277,[]
12144,MS,38.0,1,0,73.2,0,EVT000278,[]
12201,NDLS,2.0,0,0,2.0,0,EVT000279,[]
12268,NDLS,10.0,1,0,18.5,1,EVT000280,[]
12130,CTC,1.0,0,0,1.0,0,EVT000281,[]
12163,PRYJ,17.0,2,0,43.8,1,EVT000282,[]
12054,COR,36.0,0,0,36.0,0,EVT000283,[]
12087,SC,19.0,2,0,49.5,1,EVT000284,[]
12131,KGP,31.0,2,0,83.8,1,EVT000285,[]
12128,MFP,41.0,0,0,41.0,0,EVT000286,[]
12201,NDLS,9.0,1,0,15.6,1,EVT000287,[]
12249,NJP,29.0,5,0,127.9,1,EVT000288,[]
12193,ROU,46.0,1,0,88.8,1,EVT000289,[]
12134,VSKP,48.0,2,0,132.3,0,EVT000290,[]
12223,BPL,15.0,3,0,45.6,1,EVT000291,[]
12156,COR,29.0,0,0,29.0,0,EVT000292,[]
12009,NDLS,33.0,3,0,112.4,1,EVT000293,[]
12220,HWH,7.0,1,0,12.7,0,EVT000294,[]
12050,BCT,20.0,2,0,52.4,1,EVT000295,[]
12283,ASR,31.0,3,0,104.9,1,EVT000296,[]
12080,PNBE,47.0,1,0,90.7,1,EVT000297,[]
12319,HYB,24.0,0,0,24.0,0,EVT000298,[]
12203,PNBE,7.0,0,0,7.0,0,EVT000299,[]
12148,ADI,24.0,0,0,24.0,0,EVT000300,[]
12308,GHY,6.0,0,0,6.0,0,EVT000301,[]
12230,JP,95.0,7,1,309.2,1,EVT000302,[]
12213,SC,11.0,0,0,11.0,0,EVT000303,[]
12245,NDLS,15.0,0,0,15.0,0,EVT000304,[]
12102,BBS,57.0,0,0,57.0,0,EVT000305,[]
12265,MDU,33.0,3,0,112.4,1,EVT000306,[]
12219,HWH,34.0,6,1,105.9,1,EVT000307,[]
12257,SBC,25.0,2,0,66.7,1,EVT000308,[]
12217,HYB,8.0,0,0,8.0,0,EVT000309,[]
12210,PUNE,16.0,2,0,41.0,1,EVT000310,[]
12275,BAM,85.0,1,0,164.8,0,EVT000311,[]
12197,MS,28.0,0,0,28.0,0,EVT000312,[]
12073,NDLS,38.0,7,1,151.0,1,EVT000313,[]
12084,NGP,17.0,1,0,32.2,1,EVT000314,[]
12207,DLI,19.0,1,0,36.1,1,EVT000315,[]
12098,HWH,68.0,2,0,189.3,1,EVT000316,[]
12233,MAS,45.0,1,0,86.8,0,EVT000317,[]
12252,SBC,45.0,3,0,156.9,1,EVT000318,[]
12280,NDLS,64.0,0,0,64.0,0,EVT000319,[]
12139,CTC,53.0,6,1,222.6,1,EVT000320,[]
12122,CSMT,58.0,8,1,312.8,1,EVT000321,[]
12248,KGP,58.0,3,0,205.1,1,EVT000322,[]
12287,BCT,8.0,1,0,13.7,1,EVT000323,[]
12136,KYN,68.0,1,0,131.7,0,EVT000324,[]
12058,VSKP,55.0,1,0,106.3,0,EVT000325,[]
12164,CSMT,16.0,2,0,41.0,1,EVT000326,[]
12124,SBC,38.0,4,1,74.7,1,EVT000327,[]
12073,VSKP,33.0,5,1,117.2,1,EVT000328,[]
12253,ADI,12.0,1,0,22.4,0,EVT000329,[]
12148,JBP,65.0,6,1,243.8,1,EVT000330,[]
12179,MAS,49.0,1,0,94.6,0,EVT000331,[]
12203,PRYJ,37.0,3,0,127.2,1,EVT000332,[]
12224,JP,54.0,5,0,260.4,1,EVT000333,[]
12224,COR,7.0,0,0,7.0,0,EVT000334,[]
12091,PNBE,1.0,0,0,1.0,0,EVT000335,[]
12262,NGP,15.0,0,0,15.0,0,EVT000336,[]
12203,GHY,55.0,0,0,55.0,0,EVT000337,[]
12126,UMB,75.0,6,1,340.1,1,EVT000338,[]
12261,HWH,25.0,4,0,96.0,1,EVT000339,[]
12196,NGP,58.0,5,0,281.6,1,EVT000340,[]
12022,COR,11.0,0,0,11.0,0,EVT000341,[]
12179,PRYJ,12.0,2,0,28.6,1,EVT000342,[]
12131,BSP,49.0,4,0,204.6,1,EVT000343,[]
12028,JHS,9.0,1,0,15.6,1,EVT000344,[]
12207,CSMT,48.0,0,0,48.0,0,EVT000345,[]
12058,VSKP,30.0,1,0,57.5,0,EVT000346,[]
12114,COR,70.0,2,0,195.0,1,EVT000347,[]
12006,COR,21.0,1,1,26.8,1,EVT000348,[]
12231,HWH,37.0,4,0,150.3,1,EVT000349,[]
12182,ST,72.0,6,1,341.6,1,EVT000350,[]
12061,NDLS,53.0,6,1,214.3,1,EVT000351,[]
12080,PNBE,28.0,1,0,53.6,1,EVT000352,[]
12252,BPL,26.0,2,0,69.5,1,EVT000353,[]
12088,VSKP,42.0,6,1,159.6,1,EVT000354,[]
12126,NDLS,65.0,4,1,237.1,1,EVT000355,[]
12187,BSP,37.0,3,0,127.2,1,EVT000356,[]
12185,BCT,45.0,4,1,166.0,1,EVT000357,[]
12034,SUR,78.0,4,1,276.6,1,EVT000358,[]
12171,PRYJ,12.0,2,0,29.6,1,EVT000359,[]
12101,KGP,1.0,0,0,1.0,0,EVT000360,[]
12192,ADI,71.0,7,1,325.1,1,EVT000361,[]
12072,ADI,12.0,0,0,12.0,0,EVT000362,[]
12261,HWH,49.0,4,0,204.6,1,EVT000363,[]
12226,BSL,30.0,0,0,30.0,0,EVT000364,[]
12307,NGP,29.0,2,0,78.1,1,EVT000365,[]
12205,MAS,57.0,3,0,201.4,1,EVT000366,[]
12007,JHS,16.0,0,0,16.0,0,EVT000367,[]
12260,KYN,57.0,0,0,57.0,0,EVT000368,[]
12144,MS,26.0,1,0,49.8,0,EVT000369,[]
12024,TPJ,35.0,6,1,143.3,1,EVT000370,[]
12265,MAS,1.0,0,0,1.0,0,EVT000371,[]
12120,BBS,48.0,5,1,153.3,1,EVT000372,[]
12011,ASN,20.0,4,0,73.4,1,EVT000373,[]
12216,LDH,18.0,0,0,18.0,0,EVT000374,[]
12177,MLDT,45.0,1,0,86.8,1,EVT000375,[]
12260,PUNE,70.0,1,0,135.6,0,EVT000376,[]
12038,MAS,62.0,5,1,228.4,1,EVT000377,[]
12132,MAS,30.0,3,0,101.2,1,EVT000378,[]
12061,DLI,1.0,0,0,1.0,0,EVT000379,[]
12011,ADI,68.0,0,0,68.0,0,EVT000380,[]
12120,BCT,18.0,2,0,46.7,1,EVT000381,[]
12180,GHY,7.0,0,0,7.0,0,EVT000382,[]
12066,VSKP,34.0,3,0,116.1,1,EVT000383,[]
12130,KYN,57.0,2,0,157.9,1,EVT000384,[]
12291,ASR,51.0,5,1,218.9,1,EVT000385,[]
12258,ST,20.0,0,0,20.0,0,EVT000386,[]
12125,PNBE,47.0,4,1,116.1,1,EVT000387,[]
12242,PUNE,33.0,2,0,89.5,1,EVT000388,[]
12088,VSKP,11.0,2,0,26.7,0,EVT000389,[]
12306,KYN,46.0,2,0,126.6,1,EVT000390,[]
12122,SC,43.0,7,1,185.1,1,EVT000391,[]
12272,VSKP,37.0,2,0,100.9,1,EVT000392,[]
12240,ERS,29.0,2,0,78.1,1,EVT000393,[]
12232,BZA,1.0,0,0,1.0,0,EVT000394,[]
12151,SC,71.0,1,0,137.5,0,EVT000395,[]
12232,MAS,34.0,2,0,92.3,1,EVT000396,[]
12144,MAS,66.0,1,1,71.8,1,EVT000397,[]
12220,MAS,48.0,3,0,168.0,1,EVT000398,[]
12216,BPL,29.0,3,0,97.5,1,EVT000399,[]
12049,ST,1.0,0,0,1.0,0,EVT000400,[]
12117,COR,27.0,3,0,90.1,1,EVT000401,[]
12279,KGP,1.0,0,0,1.0,0,EVT000402,[]
12113,CBE,29.0,5,0,127.9,1,EVT000403,[]
12115,BSP,9.0,2,0,21.0,1,EVT000404,[]
12252,COR,41.0,1,0,79.0,1,EVT000405,[]
12084,BCT,55.0,8,1,290.4,1,EVT000406,[]
12047,MFP,25.0,0,0,25.0,0,EVT000407,[]
12271,KGP,51.0,2,0,140.8,1,EVT000408,[]
12258,BBS,31.0,2,0,83.8,1,EVT000409,[]
12169,MFP,25.0,0,0,25.0,0,EVT000410,[]
12257,MAO,3.0,0,0,3.0,0,EVT000411,[]
12301,MAS,39.0,3,0,134.6,1,EVT000412,[]
12162,MDU,53.0,4,0,222.7,1,EVT000413,[]
12148,JBP,1.0,0,0,1.0,0,EVT000414,[]
12034,SC,1.0,0,0,1.0,0,EVT000415,[]
12040,JP,11.0,2,0,26.7,1,EVT000416,[]
12167,BPL,27.0,0,0,27.0,0,EVT000417,[]
12224,JBP,21.0,3,0,67.8,1,EVT000418,[]
12316,MS,1.0,0,0,1.0,0,EVT000419,[]
12298,SBC,31.0,3,0,104.9,1,EVT000420,[]
12237,JBP,1.0,0,0,1.0,0,EVT000421,[]
12281,NDLS,34.0,1,0,65.3,0,EVT000422,[]
12130,BBS,8.0,1,0,14.6,0,EVT000423,[]
12043,BCT,44.0,4,0,181.9,1,EVT000424,[]
12298,SBC,67.0,3,0,238.5,1,EVT000425,[]
12261,NDLS,40.0,2,0,109.4,1,EVT000426,[]
12247,VSKP,38.0,3,0,130.9,1,EVT000427,[]
12301,MDU,42.0,4,0,172.9,1,EVT000428,[]
12152,PUNE,67.0,5,1,234.2,1,EVT000429,[]
12300,SBC,1.0,0,0,1.0,0,EVT000430,[]
12111,LDH,46.0,4,0,191.0,1,EVT000431,[]
12191,MDU,87.0,0,0,87.0,0,EVT000432,[]
12128,PNBE,40.0,1,0,77.0,0,EVT000433,[]
12024,MAS,7.0,0,0,7.0,0,EVT000434,[]
12047,MFP,38.0,0,0,38.0,0,EVT000435,[]
12015,SBC,24.0,3,0,79.0,1,EVT000436,[]
12135,BSP,23.0,2,0,61.0,1,EVT000437,[]
12077,NGP,5.0,0,0,5.0,0,EVT000438,[]
12061,NDLS,25.0,1,0,47.8,0,EVT000439,[]
12025,JP,47.0,2,0,129.4,1,EVT000440,[]
12190,JP,10.0,1,0,18.5,0,EVT000441,[]
12105,PURI,53.0,8,1,261.5,1,EVT000442,[]
12028,COR,12.0,2,0,29.6,1,EVT000443,[]
12137,MAS,27.0,2,0,72.4,1,EVT000444,[]
12193,MAS,15.0,3,0,45.6,1,EVT000445,[]
12121,BZA,1.0,0,0,1.0,0,EVT000446,[]
12201,NJP,38.0,3,1,83.1,1,EVT000447,[]
12309,MDU,79.0,0,0,79.0,0,EVT000448,[]
12031,LDH,1.0,0,0,1.0,0,EVT000449,[]
12039,SBC,55.0,4,0,231.7,1,EVT000450,[]
12028,TVC,40.0,0,0,40.0,0,EVT000451,[]
12243,DLI,23.0,0,0,23.0,0,EVT000452,[]
12212,PRYJ,1.0,0,0,1.0,0,EVT000453,[]
12278,RTM,33.0,4,0,132.2,1,EVT000454,[]
12184,BWN,1.0,0,0,1.0,0,EVT000455,[]
12300,CSMT,8.0,1,0,13.7,1,EVT000456,[]
12149,CTC,88.0,5,1,259.6,1,EVT000457,[]
12126,DLI,20.0,2,0,52.4,1,EVT000458,[]
12200,BPL,10.0,2,0,23.9,1,EVT000459,[]
12222,COR,33.0,0,0,33.0,0,EVT000460,[]
