assignment_id,locomotive_id,train_number,sequence_no_in_rotation,scheduled_start,scheduled_end,turnaround_buffer_mins
RS00081,LOCO0031,12266,2,2026-01-01 10:50,2026-01-01 13:45,15
RS00082,LOCO0031,12075,3,2026-01-01 14:00,2026-01-01 15:48,30
RS00083,LOCO0031,12059,4,2026-01-01 16:18,2026-01-01 18:08,60
RS00084,LOCO0027,12191,1,2026-01-01 06:00,2026-01-01 08:25,20
RS00085,LOCO0098,12248,1,2026-01-01 10:00,2026-01-01 12:00,60
RS00086,LOCO0098,12057,2,2026-01-01 13:00,2026-01-01 15:44,20
RS00087,LOCO0098,12156,3,2026-01-01 16:04,2026-01-01 17:54,45
RS00088,LOCO0003,12305,1,2026-01-01 05:00,2026-01-01 07:16,25
RS00089,LOCO0003,12088,2,2026-01-01 07:41,2026-01-01 11:16,20
RS00090,LOCO0039,12172,1,2026-01-01 08:00,2026-01-01 11:25,30
RS00091,LOCO0039,12183,2,2026-01-01 11:55,2026-01-01 14:31,15
RS00092,LOCO0039,12066,3,2026-01-01 14:46,2026-01-01 16:18,20
RS00093,LOCO0039,12065,4,2026-01-01 16:38,2026-01-01 20:18,15
RS00094,LOCO0099,12028,1,2026-01-01 07:00,2026-01-01 09:30,90
RS00095,LOCO0099,12250,2,2026-01-01 11:00,2026-01-01 12:36,20
RS00096,LOCO0071,12012,1,2026-01-01 05:00,2026-01-01 06:14,45
RS00097,LOCO0071,12186,2,2026-01-01 06:59,2026-01-01 10:14,60
RS00098,LOCO0073,12115,1,2026-01-01 09:00,2026-01-01 10:00,90
RS00099,LOCO0073,12055,2,2026-01-01 11:30,2026-01-01 14:55,25
RS00100,LOCO0073,12207,3,2026-01-01 15:20,2026-01-01 17:04,45
RS00101,LOCO0131,12134,1,2026-01-01 07:00,2026-01-01 09:54,60
RS00102,LOCO0014,12234,1,2026-01-01 10:00,2026-01-01 10:54,30
RS00103,LOCO0014,12244,2,2026-01-01 11:24,2026-01-01 14:36,15
RS00104,LOCO0014,12086,3,2026-01-01 14:51,2026-01-01 15:45,30
RS00105,LOCO0019,12135,1,2026-01-01 04:00,2026-01-01 06:04,25
RS00106,LOCO0019,12072,2,2026-01-01 06:29,2026-01-01 08:29,30
RS00107,LOCO0108,12005,1,2026-01-01 09:00,2026-01-01 11:05,90
RS00108,LOCO0108,12263,2,2026-01-01 12:35,2026-01-01 15:30,90
RS00109,LOCO0019,12173,1,2026-01-01 04:00,2026-01-01 05:40,25
RS00110,LOCO0056,12224,1,2026-01-01 04:00,2026-01-01 09:15,30
RS00111,LOCO0130,12168,1,2026-01-01 09:00,2026-01-01 11:24,90
RS00112,LOCO0107,12179,1,2026-01-01 07:00,2026-01-01 09:12,60
RS00113,LOCO0107,12181,2,2026-01-01 10:12,2026-01-01 11:26,45
RS00114,LOCO0040,12031,1,2026-01-01 06:00,2026-01-01 06:44,45
RS00115,LOCO0053,12279,1,2026-01-01 05:00,2026-01-01 08:42,25
RS00116,LOCO0053,12013,2,2026-01-01 09:07,2026-01-01 11:47,45
RS00117,LOCO0053,12010,3,2026-01-01 12:32,2026-01-01 15:52,90
RS00118,LOCO0053,12190,4,2026-01-01 17:22,2026-01-01 20:42,60
RS00119,LOCO0017,12298,1,2026-01-01 07:00,2026-01-01 10:35,90
RS00120,LOCO0062,12284,1,2026-01-01 04:00,2026-01-01 05:39,15
RS00121,LOCO0117,12211,1,2026-01-01 04:00,2026-01-01 06:54,60
RS00122,LOCO0117,12103,2,2026-01-01 07:54,2026-01-01 10:46,60
RS00123,LOCO0045,12132,1,2026-01-01 09:00,2026-01-01 11:00,60
RS00124,LOCO0003,12089,1,2026-01-01 06:00,2026-01-01 09:00,45
RS00125,LOCO0067,12150,1,2026-01-01 05:00,2026-01-01 07:52,90
RS00126,LOCO0069,12202,1,2026-01-01 04:00,2026-01-01 07:40,15
RS00127,LOCO0069,12282,2,2026-01-01 07:55,2026-01-01 09:55,90
RS00128,LOCO0069,12009,3,2026-01-01 11:25,2026-01-01 14:43,25
RS00129,LOCO0135,12204,1,2026-01-01 09:00,2026-01-01 12:10,60
RS00130,LOCO0020,12129,1,2026-01-01 08:00,2026-01-01 09:33,15
RS00131,LOCO0020,12102,2,2026-01-01 09:48,2026-01-01 10:58,90
RS00132,LOCO0043,12170,1,2026-01-01 06:00,2026-01-01 08:56,15
RS00133,LOCO0043,12246,2,2026-01-01 09:11,2026-01-01 11:43,60
RS00134,LOCO0030,12018,1,2026-01-01 08:00,2026-01-01 10:00,15
RS00135,LOCO0004,12159,1,2026-01-01 07:00,2026-01-01 09:04,30
RS00136,LOCO0039,12108,1,2026-01-01 10:00,2026-01-01 11:24,45
RS00137,LOCO0108,12303,1,2026-01-01 05:00,2026-01-01 06:39,60
RS00138,LOCO0082,12198,1,2026-01-01 04:00,2026-01-01 06:32,25
RS00139,LOCO0031,12061,1,2026-01-01 04:00,2026-01-01 05:15,20
RS00140,LOCO0031,12187,2,2026-01-01 05:35,2026-01-01 08:35,45
RS00141,LOCO0012,12214,1,2026-01-01 04:00,2026-01-01 06:50,90
RS00142,LOCO0012,12127,2,2026-01-01 08:20,2026-01-01 10:16,90
RS00143,LOCO0012,12242,3,2026-01-01 11:46,2026-01-01 13:42,25
RS00144,LOCO0012,12017,4,2026-01-01 14:07,2026-01-01 14:51,45
RS00145,LOCO0117,12165,1,2026-01-01 05:00,2026-01-01 06:56,45
RS00146,LOCO0078,12180,1,2026-01-01 05:00,2026-01-01 08:24,25
RS00147,LOCO0078,12053,2,2026-01-01 08:49,2026-01-01 13:15,30
RS00148,LOCO0078,12286,3,2026-01-01 13:45,2026-01-01 18:53,90
RS00149,LOCO0051,12240,1,2026-01-01 08:00,2026-01-01 10:12,90
RS00150,LOCO0051,12140,2,2026-01-01 11:42,2026-01-01 13:57,20
RS00151,LOCO0051,12258,3,2026-01-01 14:17,2026-01-01 15:17,30
RS00152,LOCO0007,12280,1,2026-01-01 06:00,2026-01-01 08:00,90
RS00153,LOCO0003,12270,1,2026-01-01 04:00,2026-01-01 07:40,60
RS00154,LOCO0003,12171,2,2026-01-01 08:40,2026-01-01 10:48,90
RS00155,LOCO0003,12144,3,2026-01-01 12:18,2026-01-01 13:44,60
RS00156,LOCO0003,12029,4,2026-01-01 14:44,2026-01-01 17:09,15
RS00157,LOCO0053,12093,1,2026-01-01 05:00,2026-01-01 07:12,30
RS00158,LOCO0053,12100,2,2026-01-01 07:42,2026-01-01 09:06,20
RS00159,LOCO0072,12293,1,2026-01-01 05:00,2026-01-01 08:00,30
RS00160,LOCO0096,12096,1,2026-01-01 09:00,2026-01-01 10:28,45
RS00161,LOCO0096,12232,2,2026-01-01 11:13,2026-01-01 12:22,45
RS00162,LOCO0035,12231,1,2026-01-01 07:00,2026-01-01 08:50,45
RS00163,LOCO0035,12147,2,2026-01-01 09:35,2026-01-01 12:07,15
RS00164,LOCO0112,12125,1,2026-01-01 05:00,2026-01-01 06:48,25
RS00165,LOCO0112,12261,2,2026-01-01 07:13,2026-01-01 09:33,90
RS00166,LOCO0081,12228,1,2026-01-01 07:00,2026-01-01 08:24,90
RS00167,LOCO0081,12081,2,2026-01-01 09:54,2026-01-01 12:46,25
RS00168,LOCO0081,12287,3,2026-01-01 13:11,2026-01-01 15:11,30
RS00169,LOCO0081,12045,4,2026-01-01 15:41,2026-01-01 17:33,20
RS00170,LOCO0020,12080,1,2026-01-01 05:00,2026-01-01 07:56,90
RS00171,LOCO0020,12122,2,2026-01-01 09:26,2026-01-01 13:14,15
RS00172,LOCO0020,12051,3,2026-01-01 13:29,2026-01-01 15:29,15
RS00173,LOCO0020,12154,4,2026-01-01 15:44,2026-01-01 17:24,30
RS00174,LOCO0120,12082,1,2026-01-01 04:00,2026-01-01 06:28,25
RS00175,LOCO0054,12283,1,2026-01-01 07:00,2026-01-01 08:52,90
RS00176,LOCO0054,12188,2,2026-01-01 10:22,2026-01-01 12:17,15
RS00177,LOCO0041,12193,1,2026-01-01 06:00,2026-01-01 09:30,60
RS00178,LOCO0041,12166,2,2026-01-01 10:30,2026-01-01 13:06,15
RS00179,LOCO0041,12247,3,2026-01-01 13:21,2026-01-01 15:57,90
RS00180,LOCO0084,12294,1,2026-01-01 09:00,2026-01-01 11:42,25
RS00181,LOCO0102,12112,1,2026-01-01 09:00,2026-01-01 10:56,25
RS00182,LOCO0102,12084,2,2026-01-01 11:21,2026-01-01 12:36,15
RS00183,LOCO0104,12216,1,2026-01-01 08:00,2026-01-01 11:35,45
RS00184,LOCO0104,12158,2,2026-01-01 12:20,2026-01-01 14:08,15
RS00185,LOCO0104,12085,3,2026-01-01 14:23,2026-01-01 16:05,15
RS00186,LOCO0036,12101,1,2026-01-01 04:00,2026-01-01 05:28,20
RS00187,LOCO0034,12001,1,2026-01-01 07:00,2026-01-01 09:04,60
RS00188,LOCO0022,12212,1,2026-01-01 06:00,2026-01-01 07:28,15
RS00189,LOCO0022,12034,2,2026-01-01 07:43,2026-01-01 09:11,20
RS00190,LOCO0114,12289,1,2026-01-01 04:00,2026-01-01 08:30,25
RS00191,LOCO0114,12117,2,2026-01-01 08:55,2026-01-01 10:50,15
RS00192,LOCO0114,12306,3,2026-01-01 11:05,2026-01-01 13:21,15
RS00193,LOCO0044,12291,1,2026-01-01 07:00,2026-01-01 10:35,30
RS00194,LOCO0044,12235,2,2026-01-01 11:05,2026-01-01 14:00,15
RS00195,LOCO0044,12210,3,2026-01-01 14:15,2026-01-01 15:51,60
RS00196,LOCO0044,12160,4,2026-01-01 16:51,2026-01-01 18:30,20
RS00197,LOCO0091,12260,1,2026-01-01 05:00,2026-01-01 06:52,25
RS00198,LOCO0115,12063,1,2026-01-01 04:00,2026-01-01 05:18,45
RS00199,LOCO0115,12064,2,2026-01-01 06:03,2026-01-01 09:18,20
RS00200,LOCO0115,12254,3,2026-01-01 09:38,2026-01-01 12:58,25
RS00201,LOCO0128,12019,1,2026-01-01 08:00,2026-01-01 11:30,15
RS00202,LOCO0128,12233,2,2026-01-01 11:45,2026-01-01 13:57,25
RS00203,LOCO0099,12299,1,2026-01-01 05:00,2026-01-01 07:40,90
RS00204,LOCO0135,12076,1,2026-01-01 10:00,2026-01-01 11:14,90
RS00205,LOCO0005,12107,1,2026-01-01 10:00,2026-01-01 13:30,25
RS00206,LOCO0005,12070,2,2026-01-01 13:55,2026-01-01 16:15,45
RS00207,LOCO0005,12111,3,2026-01-01 17:00,2026-01-01 20:45,30
RS00208,LOCO0005,12267,4,2026-01-01 21:15,2026-01-02 00:21,45
RS00209,LOCO0129,12311,1,2026-01-01 06:00,2026-01-01 06:50,15
RS00210,LOCO0082,12268,1,2026-01-01 04:00,2026-01-01 07:45,90
RS00211,LOCO0082,12269,2,2026-01-01 09:15,2026-01-01 10:39,15
RS00212,LOCO0121,12213,1,2026-01-01 10:00,2026-01-01 13:10,20
RS00213,LOCO0121,12077,2,2026-01-01 13:30,2026-01-01 15:35,15
RS00214,LOCO0064,12068,1,2026-01-01 06:00,2026-01-01 07:51,90
RS00215,LOCO0064,12035,2,2026-01-01 09:21,2026-01-01 12:21,60
RS00216,LOCO0015,12218,1,2026-01-01 05:00,2026-01-01 06:54,90
RS00217,LOCO0015,12097,2,2026-01-01 08:24,2026-01-01 12:54,30
RS00218,LOCO0015,12175,3,2026-01-01 13:24,2026-01-01 15:28,90
RS00219,LOCO0045,12271,1,2026-01-01 08:00,2026-01-01 10:30,90
RS00220,LOCO0092,12133,1,2026-01-01 04:00,2026-01-01 06:06,60
RS00221,LOCO0092,12146,2,2026-01-01 07:06,2026-01-01 09:41,45
RS00222,LOCO0092,12062,3,2026-01-01 10:26,2026-01-01 12:20,20
RS00223,LOCO0092,12314,4,2026-01-01 12:40,2026-01-01 13:56,20
RS00224,LOCO0127,12185,1,2026-01-01 05:00,2026-01-01 07:20,15
RS00225,LOCO0127,12021,2,2026-01-01 07:35,2026-01-01 08:41,15
RS00226,LOCO0060,12262,1,2026-01-01 04:00,2026-01-01 07:36,30
RS00227,LOCO0060,12099,2,2026-01-01 08:06,2026-01-01 09:46,25
RS00228,LOCO0052,12105,1,2026-01-01 06:00,2026-01-01 08:48,20
RS00229,LOCO0052,12074,2,2026-01-01 09:08,2026-01-01 12:53,90
RS00230,LOCO0052,12003,3,2026-01-01 14:23,2026-01-01 16:23,15
RS00231,LOCO0006,12098,1,2026-01-01 09:00,2026-01-01 11:48,90
RS00232,LOCO0029,12274,1,2026-01-01 10:00,2026-01-01 12:35,15
RS00233,LOCO0029,12301,2,2026-01-01 12:50,2026-01-01 15:25,60
RS00234,LOCO0029,12200,3,2026-01-01 16:25,2026-01-01 20:31,30
RS00235,LOCO0026,12302,1,2026-01-01 06:00,2026-01-01 08:00,20
RS00236,LOCO0112,12152,1,2026-01-01 07:00,2026-01-01 09:40,25
RS00237,LOCO0112,12316,2,2026-01-01 10:05,2026-01-01 12:10,60
RS00238,LOCO0112,12141,3,2026-01-01 13:10,2026-01-01 15:01,60
RS00239,LOCO0092,12090,1,2026-01-01 08:00,2026-01-01 10:55,30
RS00240,LOCO0079,12249,1,2026-01-01 06:00,2026-01-01 08:24,20
RS00241,LOCO0079,12006,2,2026-01-01 08:44,2026-01-01 12:19,15
RS00242,LOCO0079,12313,3,2026-01-01 12:34,2026-01-01 16:46,45
RS00243,LOCO0101,12104,1,2026-01-01 10:00,2026-01-01 11:16,15
RS00244,LOCO0101,12131,2,2026-01-01 11:31,2026-01-01 14:01,45
RS00245,LOCO0101,12245,3,2026-01-01 14:46,2026-01-01 16:46,90
RS00246,LOCO0057,12142,1,2026-01-01 04:00,2026-01-01 06:20,20
RS00247,LOCO0057,12114,2,2026-01-01 06:40,2026-01-01 09:10,60
RS00248,LOCO0020,12110,1,2026-01-01 06:00,2026-01-01 08:30,60
RS00249,LOCO0023,12047,1,2026-01-01 09:00,2026-01-01 11:00,60
RS00250,LOCO0023,12022,2,2026-01-01 12:00,2026-01-01 13:00,30
RS00251,LOCO0023,12033,3,2026-01-01 13:30,2026-01-01 14:50,25
RS00252,LOCO0054,12026,1,2026-01-01 04:00,2026-01-01 06:04,25
RS00253,LOCO0028,12069,1,2026-01-01 04:00,2026-01-01 06:40,30
RS00254,LOCO0028,12264,2,2026-01-01 07:10,2026-01-01 08:36,30
RS00255,LOCO0028,12092,3,2026-01-01 09:06,2026-01-01 10:21,30
RS00256,LOCO0127,12227,1,2026-01-01 06:00,2026-01-01 07:14,30
RS00257,LOCO0127,12157,2,2026-01-01 07:44,2026-01-01 08:30,90
RS00258,LOCO0127,12002,3,2026-01-01 10:00,2026-01-01 12:20,90
RS00259,LOCO0058,12046,1,2026-01-01 04:00,2026-01-01 07:00,90
RS00260,LOCO0009,12054,1,2026-01-01 06:00,2026-01-01 07:24,15
RS00261,LOCO0019,12184,1,2026-01-01 07:00,2026-01-01 09:30,60
RS00262,LOCO0020,12162,1,2026-01-01 04:00,2026-01-01 07:00,45
RS00263,LOCO0020,12297,2,2026-01-01 07:45,2026-01-01 11:39,30
RS00264,LOCO0008,12265,1,2026-01-01 09:00,2026-01-01 10:40,45
RS00265,LOCO0008,12272,2,2026-01-01 11:25,2026-01-01 14:10,20
RS00266,LOCO0014,12078,1,2026-01-01 05:00,2026-01-01 07:10,30
RS00267,LOCO0139,12137,1,2026-01-01 06:00,2026-01-01 07:56,20
RS00268,LOCO0025,12042,1,2026-01-01 08:00,2026-01-01 11:05,90
RS00269,LOCO0126,12037,1,2026-01-01 06:00,2026-01-01 07:40,30
RS00270,LOCO0023,12126,1,2026-01-01 09:00,2026-01-01 12:20,45
RS00271,LOCO0123,12151,1,2026-01-01 04:00,2026-01-01 06:36,20
RS00272,LOCO0075,12043,1,2026-01-01 07:00,2026-01-01 08:55,25
RS00273,LOCO0075,12194,2,2026-01-01 09:20,2026-01-01 13:05,30
RS00274,LOCO0075,12095,3,2026-01-01 13:35,2026-01-01 14:45,30
RS00275,LOCO0075,12221,4,2026-01-01 15:15,2026-01-01 20:02,25
RS00276,LOCO0024,12192,1,2026-01-01 07:00,2026-01-01 07:50,25
RS00277,LOCO0024,12182,2,2026-01-01 08:15,2026-01-01 10:23,25
RS00278,LOCO0048,12116,1,2026-01-01 06:00,2026-01-01 09:24,30
RS00279,LOCO0048,12251,2,2026-01-01 09:54,2026-01-01 11:18,20
RS00280,LOCO0069,12230,1,2026-01-01 05:00,2026-01-01 07:56,60
RS00281,LOCO0069,12139,2,2026-01-01 08:56,2026-01-01 12:21,15
RS00282,LOCO0022,12015,1,2026-01-01 10:00,2026-01-01 13:05,30
RS00283,LOCO0022,12167,2,2026-01-01 13:35,2026-01-01 16:31,45
RS00284,LOCO0059,12304,1,2026-01-01 10:00,2026-01-01 13:12,90
RS00285,LOCO0059,12174,2,2026-01-01 14:42,2026-01-01 16:30,30
RS00286,LOCO0138,12315,1,2026-01-01 07:00,2026-01-01 11:26,20
RS00287,LOCO0138,12118,2,2026-01-01 11:46,2026-01-01 14:06,25
RS00288,LOCO0021,12223,1,2026-01-01 10:00,2026-01-01 12:48,15
RS00289,LOCO0021,12050,2,2026-01-01 13:03,2026-01-01 16:03,45
RS00290,LOCO0133,12027,1,2026-01-01 09:00,2026-01-01 10:57,20
RS00291,LOCO0133,12177,2,2026-01-01 11:17,2026-01-01 12:49,90
RS00292,LOCO0133,12256,3,2026-01-01 14:19,2026-01-01 16:35,20
RS00293,LOCO0043,12040,1,2026-01-01 10:00,2026-01-01 11:44,20
RS00294,LOCO0043,12071,2,2026-01-01 12:04,2026-01-01 13:49,30
RS00295,LOCO0043,12196,3,2026-01-01 14:19,2026-01-01 16:53,60
RS00296,LOCO0043,12169,4,2026-01-01 17:53,2026-01-01 20:05,20
RS00297,LOCO0038,12276,1,2026-01-01 06:00,2026-01-01 08:30,60
RS00298,LOCO0038,12199,2,2026-01-01 09:30,2026-01-01 13:15,15
RS00299,LOCO0038,12319,3,2026-01-01 13:30,2026-01-01 15:42,30
RS00300,LOCO0102,12123,1,2026-01-01 10:00,2026-01-01 11:24,45
RS00301,LOCO0102,12312,2,2026-01-01 12:09,2026-01-01 15:33,90
RS00302,LOCO0004,12083,1,2026-01-01 08:00,2026-01-01 10:32,45
RS00303,LOCO0004,12153,2,2026-01-01 11:17,2026-01-01 14:17,30
RS00304,LOCO0004,12039,3,2026-01-01 14:47,2026-01-01 17:05,30
RS00305,LOCO0039,12203,1,2026-01-01 08:00,2026-01-01 11:48,90
RS00306,LOCO0026,12073,1,2026-01-01 08:00,2026-01-01 11:40,15
RS00307,LOCO0026,12300,2,2026-01-01 11:55,2026-01-01 14:55,25
RS00308,LOCO0026,12106,3,2026-01-01 15:20,2026-01-01 16:34,25
RS00309,LOCO0026,12008,4,2026-01-01 16:59,2026-01-01 18:05,25
RS00310,LOCO0099,12161,1,2026-01-01 08:00,2026-01-01 09:57,30
RS00311,LOCO0099,12091,2,2026-01-01 10:27,2026-01-01 12:12,20
RS00312,LOCO0071,12016,1,2026-01-01 08:00,2026-01-01 11:54,60
RS00313,LOCO0071,12288,2,2026-01-01 12:54,2026-01-01 17:06,30
RS00314,LOCO0010,12278,1,2026-01-01 06:00,2026-01-01 09:30,20
RS00315,LOCO0010,12143,2,2026-01-01 09:50,2026-01-01 11:56,60
RS00316,LOCO0122,12038,1,2026-01-01 06:00,2026-01-01 07:20,25
RS00317,LOCO0122,12023,2,2026-01-01 07:45,2026-01-01 10:45,25
RS00318,LOCO0122,12138,3,2026-01-01 11:10,2026-01-01 14:04,25
RS00319,LOCO0122,12243,4,2026-01-01 14:29,2026-01-01 16:14,90
RS00320,LOCO0026,12290,1,2026-01-01 05:00,2026-01-01 07:24,25
