scenario_id,train_number,station_id,zone_id,initial_delay_minutes,station_degree,platform_capacity,track_congestion_index,has_rolling_stock_dependency,weather_condition,weather_severity,delay_cause,traffic_category,cascade_depth,affected_trains_count,delay_spread_minutes,cross_zone_propagation
SIM000018,12056,AII,NWR,42,3,6,0.3,0,Clear,0,Rolling Stock,MEDIUM,3,0,260.3,0
SIM000019,12202,PRYJ,NCR,7,6,10,0.4,1,Clear,0,Operational,HIGH,0,0,7.0,0
SIM000020,12135,DURG,SECR,60,2,6,0.11,1,Clear,0,Infrastructure,MEDIUM,4,2,705.3,1
SIM000021,12018,SDAH,ER,33,3,20,0.8,0,Fog,2,Rolling Stock,HIGH,3,0,184.2,1
SIM000022,12003,BCT,WR,54,6,7,1.1,0,Fog,2,Signal,HIGH,4,0,581.7,1
SIM000023,12089,R,SECR,4,3,7,0.78,1,Clear,0,Infrastructure,MEDIUM,0,0,4.0,0
SIM000024,12276,SC,SCR,20,7,10,0.44,1,Clear,0,Operational,HIGH,1,0,52.5,0
SIM000025,12010,BSL,CR,42,3,7,0.91,1,Rain,1,Operational,MEDIUM,3,0,313.8,1
SIM000026,12102,KYN,CR,35,5,8,0.44,1,Clear,0,Infrastructure,HIGH,3,2,253.3,1
SIM000027,12307,BCT,WR,1,6,7,0.36,1,Clear,0,Infrastructure,HIGH,0,0,1.0,0
SIM000028,12262,DLI,NR,42,3,10,1.28,1,Heavy Rain,2,Rolling Stock,HIGH,4,2,426.4,1
SIM000029,12304,UBL,SWR,28,3,6,0.84,1,Clear,0,Passenger,MEDIUM,2,0,121.3,1
SIM000030,12300,CSMT,CR,1,8,18,0.23,1,Rain,1,Weather,HIGH,0,0,1.0,0
SIM000031,12199,MYS,SWR,57,2,5,0.9,1,Rain,1,Rolling Stock,MEDIUM,4,2,506.3,1
SIM000032,12113,MAS,SR,1,9,12,1.09,1,Clear,0,Infrastructure,HIGH,0,0,1.0,0
SIM000033,12094,BSP,SECR,27,6,8,0.91,1,Rain,1,Weather,HIGH,2,0,131.4,1
SIM000034,12184,BSP,SECR,79,6,8,1.09,1,Clear,0,Rolling Stock,HIGH,5,2,2026.3,1
SIM000035,12204,KGP,SER,50,5,9,0.77,1,Clear,0,Operational,HIGH,4,0,476.7,1
SIM000036,12139,CTC,ECoR,21,1,6,0.81,1,Heavy Rain,2,Passenger,MEDIUM,1,0,30.4,0
SIM000037,12040,PUNE,CR,8,5,6,0.36,1,Clear,0,Crew,HIGH,0,0,8.0,0
SIM000038,12247,AGC,NCR,54,2,6,0.43,0,Clear,0,Weather,MEDIUM,3,0,354.6,1
SIM000039,12267,PURI,ECoR,20,2,5,0.26,0,Heavy Rain,2,Operational,MEDIUM,1,0,38.9,0
SIM000040,12310,BZA,SCR,25,5,10,0.62,1,Clear,0,Operational,HIGH,2,0,85.5,1
SIM000041,12055,KGP,SER,62,5,9,0.4,1,Rain,1,Rolling Stock,HIGH,4,2,775.1,1
SIM000042,12160,BSP,SECR,11,6,8,0.48,0,Clear,0,Rolling Stock,HIGH,0,0,11.0,0
SIM000043,12274,NDLS,NR,1,9,16,1.01,1,Clear,0,Crew,HIGH,0,0,1.0,0
SIM000044,12145,JU,NWR,39,3,6,0.44,1,Clear,0,Rolling Stock,MEDIUM,3,0,268.7,0
SIM000045,12256,KYN,CR,65,5,8,0.47,0,Clear,0,Passenger,HIGH,4,0,1245.5,1
SIM000046,12028,TVC,SR,62,5,5,0.77,1,Clear,0,Crew,HIGH,5,0,1002.4,0
SIM000047,12033,SC,SCR,22,7,10,0.78,0,Rain,1,Operational,HIGH,1,0,51.6,0
SIM000048,12287,KYN,CR,33,5,8,0.13,1,Fog,2,Signal,HIGH,2,2,170.9,1
SIM000049,12256,NDLS,NR,8,9,16,1.11,0,Clear,0,Signal,HIGH,0,0,8.0,0
SIM000050,12090,UBL,SWR,1,3,6,0.38,1,Fog,2,Operational,MEDIUM,0,0,1.0,0
SIM000051,12058,BBS,ECoR,24,6,6,0.86,0,Storm,3,Infrastructure,HIGH,2,0,77.4,0
SIM000052,12039,RTM,WR,37,4,6,0.38,0,Clear,0,Signal,MEDIUM,3,0,251.4,1
SIM000053,12243,DLI,NR,33,3,10,0.61,0,Rain,1,Infrastructure,HIGH,2,0,156.5,1
SIM000054,12286,PNBE,ECR,20,7,10,0.8,0,Clear,0,Infrastructure,HIGH,1,0,50.3,0
SIM000055,12165,BCT,WR,35,6,7,0.18,1,Clear,0,Rolling Stock,HIGH,3,0,199.3,1
SIM000056,12254,BCT,WR,47,6,7,1.29,0,Rain,1,Rolling Stock,HIGH,3,0,460.2,1
SIM000057,12042,DURG,SECR,26,2,6,0.97,0,Clear,0,Crew,MEDIUM,2,0,64.8,0
SIM000058,12003,BBS,ECoR,24,6,6,0.53,0,Clear,0,Passenger,HIGH,2,0,79.8,1
SIM000059,12271,MAS,SR,1,9,12,1.07,1,Clear,0,Weather,HIGH,0,0,1.0,0
SIM000060,12159,COR,WCR,23,5,8,0.13,1,Clear,0,Weather,MEDIUM,2,0,82.4,1
SIM000061,12282,BBS,ECoR,12,6,6,1.13,1,Clear,0,Signal,HIGH,1,0,17.1,0
SIM000062,12169,MFP,ECR,57,3,6,0.66,0,Clear,0,Operational,MEDIUM,4,0,831.8,1
SIM000063,12120,BBS,ECoR,54,6,6,0.7,1,Clear,0,Infrastructure,HIGH,4,2,701.8,1
SIM000064,12224,COR,WCR,47,5,8,0.21,0,Fog,2,Passenger,MEDIUM,4,0,450.9,1
SIM000065,12290,NJP,NFR,81,2,6,0.93,1,Fog,2,Operational,MEDIUM,5,4,1378.9,1
SIM000066,12204,ROU,SER,31,3,5,0.4,1,Clear,0,Crew,LOW,2,0,133.0,1
SIM000067,12181,NJP,NFR,10,2,6,0.83,1,Clear,0,Infrastructure,MEDIUM,0,0,10.0,0
SIM000068,12218,MYS,SWR,24,2,5,0.35,1,Rain,1,Infrastructure,MEDIUM,2,0,64.0,1
SIM000069,12054,VSKP,ECoR,36,5,8,0.24,0,Clear,0,Operational,HIGH,3,0,182.4,1
SIM000070,12040,PUNE,CR,33,5,6,0.66,1,Rain,1,Rolling Stock,HIGH,2,0,144.2,0
SIM000071,12230,TVC,SR,1,5,5,0.35,1,Rain,1,Crew,HIGH,0,0,1.0,0
SIM000072,12145,COR,WCR,8,5,8,0.12,1,Rain,1,Operational,MEDIUM,0,0,8.0,0
SIM000073,12178,MAS,SR,80,9,12,0.75,1,Heavy Rain,2,Operational,HIGH,5,2,1658.2,0
SIM000074,12248,MLDT,ER,22,5,5,0.86,1,Fog,2,Infrastructure,LOW,2,0,59.9,1
SIM000075,12046,PNBE,ECR,40,7,10,0.93,0,Clear,0,Signal,HIGH,3,0,315.7,1
SIM000076,12310,SC,SCR,42,7,10,1.09,1,Rain,1,Infrastructure,HIGH,3,0,285.2,1
SIM000077,12231,ADI,WR,17,6,12,0.59,1,Fog,2,Signal,HIGH,1,0,36.6,0
SIM000078,12285,BPL,WCR,5,6,6,0.73,1,Clear,0,Rolling Stock,HIGH,0,0,5.0,0
SIM000079,12307,BSP,SECR,13,6,8,0.58,1,Rain,1,Infrastructure,HIGH,1,0,33.4,1
SIM000080,12192,GHY,NFR,11,4,6,0.95,1,Fog,2,Signal,HIGH,1,0,16.3,0
SIM000081,12221,MFP,ECR,18,3,6,0.64,0,Storm,3,Operational,MEDIUM,1,0,45.1,1
SIM000082,12186,ADI,WR,77,6,12,0.18,1,Clear,0,Rolling Stock,HIGH,5,2,1801.2,1
SIM000083,12085,SDAH,ER,5,3,20,0.31,0,Heavy Rain,2,Weather,HIGH,0,0,5.0,0
SIM000084,12304,UBL,SWR,1,3,6,0.82,1,Clear,0,Signal,MEDIUM,0,0,1.0,0
SIM000085,12115,NGP,CR,55,7,8,0.46,1,Rain,1,Passenger,HIGH,4,2,789.8,1
SIM000086,12170,ASR,NR,75,4,6,0.6,1,Clear,0,Operational,MEDIUM,5,2,1766.6,1
SIM000087,12126,UMB,NR,75,3,8,0.31,1,Clear,0,Signal,MEDIUM,5,4,2081.7,1
SIM000088,12282,NGP,CR,60,7,8,0.74,1,Fog,2,Signal,HIGH,4,4,1034.5,1
SIM000089,12086,MAS,SR,1,9,12,0.94,0,Fog,2,Crew,HIGH,0,0,1.0,0
SIM000090,12249,KGP,SER,8,5,9,0.78,1,Clear,0,Signal,HIGH,0,0,8.0,0
SIM000091,12048,BZA,SCR,21,5,10,0.33,1,Clear,0,Crew,HIGH,2,0,68.0,1
SIM000092,12240,ERS,SR,55,3,5,0.39,1,Clear,0,Signal,MEDIUM,4,2,727.9,0
SIM000093,12011,ADI,WR,68,6,12,0.56,0,Rain,1,Operational,HIGH,5,0,945.4,1
SIM000094,12317,VSKP,ECoR,31,5,8,0.97,0,Clear,0,Operational,HIGH,2,0,147.3,1
SIM000095,12258,BCT,WR,4,6,7,0.6,0,Clear,0,Operational,HIGH,0,0,4.0,0
SIM000096,12169,GHY,NFR,53,4,6,0.42,0,Clear,0,Signal,HIGH,4,0,426.3,1
SIM000097,12029,ADI,WR,35,6,12,0.84,0,Rain,1,Crew,HIGH,3,0,191.2,1
SIM000098,12273,JHS,NCR,25,3,7,0.21,1,Clear,0,Rolling Stock,MEDIUM,2,0,89.8,1
SIM000099,12198,PNBE,ECR,46,7,10,0.79,1,Clear,0,Rolling Stock,HIGH,3,0,322.4,1
SIM000100,12235,NGP,CR,66,7,8,0.16,1,Storm,3,Infrastructure,HIGH,5,0,1111.6,1
SIM000101,12303,HWH,ER,37,5,23,1.12,1,Clear,0,Signal,HIGH,3,0,272.0,1
SIM000102,12194,NDLS,NR,15,9,16,1.27,1,Clear,0,Operational,HIGH,1,0,20.5,0
SIM000103,12178,BWN,ER,34,3,6,0.47,1,Clear,0,Passenger,MEDIUM,3,0,213.9,1
SIM000104,12074,SC,SCR,1,7,10,0.78,1,Clear,0,Weather,HIGH,0,0,1.0,0
SIM000105,12086,VSKP,ECoR,1,5,8,0.22,0,Clear,0,Crew,HIGH,0,0,1.0,0
SIM000106,12045,JBP,WCR,88,4,7,1.14,0,Rain,1,Signal,HIGH,5,0,2489.5,1
SIM000107,12272,VSKP,ECoR,37,5,8,1.18,0,Clear,0,Weather,HIGH,3,0,281.2,1
SIM000108,12009,VSKP,ECoR,14,5,8,0.68,0,Clear,0,Operational,HIGH,0,0,14.0,0
SIM000109,12051,NJP,NFR,63,2,6,0.31,1,Clear,0,Crew,MEDIUM,4,2,596.0,1
SIM000110,12056,JP,NWR,61,6,7,1.1,0,Clear,0,Operational,HIGH,5,0,1173.6,0
SIM000111,12067,DURG,SECR,34,2,6,0.9,0,Clear,0,Infrastructure,MEDIUM,2,0,121.4,1
SIM000112,12311,KGP,SER,42,5,9,0.15,0,Storm,3,Weather,HIGH,4,0,298.4,1
SIM000113,12105,KYN,CR,70,5,8,0.26,1,Clear,0,Rolling Stock,HIGH,5,0,1251.7,1
SIM000114,12148,JBP,WCR,50,4,7,0.85,1,Heavy Rain,2,Infrastructure,HIGH,4,2,586.2,1
SIM000115,12092,KYN,CR,1,5,8,0.39,0,Clear,0,Crew,HIGH,0,0,1.0,0
SIM000116,12012,UBL,SWR,10,3,6,0.46,1,Clear,0,Weather,MEDIUM,1,0,15.2,1
SIM000117,12015,MS,SR,1,2,10,0.99,1,Storm,3,Passenger,MEDIUM,0,0,1.0,0
SIM000118,12071,KYN,CR,6,5,8,0.33,1,Clear,0,Operational,HIGH,0,0,6.0,0
SIM000119,12088,MAS,SR,1,9,12,1.0,1,Clear,0,Signal,HIGH,0,0,1.0,0
SIM000120,12206,SBC,SWR,40,4,10,1.23,1,Clear,0,Rolling Stock,HIGH,3,0,262.7,1
SIM000121,12095,JP,NWR,39,6,7,1.07,1,Fog,2,Signal,HIGH,3,2,355.8,0
SIM000122,12126,NGP,CR,63,7,8,1.13,1,Clear,0,Infrastructure,HIGH,5,2,955.5,1
SIM000123,12080,PNBE,ECR,64,7,10,0.66,1,Clear,0,Passenger,HIGH,4,0,818.8,1
SIM000124,12285,ADI,WR,24,6,12,0.96,1,Clear,0,Crew,HIGH,2,0,68.4,0
SIM000125,12206,SBC,SWR,81,4,10,0.64,1,Fog,2,Operational,HIGH,5,2,1802.9,1
SIM000126,12031,UMB,NR,39,3,8,0.83,0,Clear,0,Weather,MEDIUM,3,0,274.7,0
SIM000127,12257,MAS,SR,23,9,12,0.45,1,Heavy Rain,2,Passenger,HIGH,2,2,73.8,0
SIM000128,12208,PRYJ,NCR,26,6,10,0.52,1,Clear,0,Weather,HIGH,2,0,90.5,1
SIM000129,12062,UMB,NR,22,3,8,0.38,1,Clear,0,Signal,MEDIUM,1,0,54.1,0
SIM000130,12180,ADI,WR,22,6,12,1.29,1,Rain,1,Crew,HIGH,2,0,83.0,1
SIM000131,12227,BZA,SCR,1,5,10,1.06,1,Storm,3,Operational,HIGH,0,0,1.0,0
SIM000132,12319,KGP,SER,1,5,9,1.14,0,Clear,0,Passenger,HIGH,0,0,1.0,0
SIM000133,12268,SUR,CR,31,3,6,0.54,1,Clear,0,Crew,MEDIUM,2,2,153.8,1
SIM000134,12187,NDLS,NR,55,9,16,0.38,1,Clear,0,Infrastructure,HIGH,4,2,655.9,1
SIM000135,12078,SC,SCR,1,7,10,1.04,1,Clear,0,Rolling Stock,HIGH,0,0,1.0,0
SIM000136,12046,GKP,NER,20,5,10,1.3,0,Clear,0,Weather,HIGH,2,0,51.1,1
SIM000137,12291,ASR,NR,2,4,6,0.51,1,Clear,0,Infrastructure,MEDIUM,0,0,2.0,0
SIM000138,12052,PUNE,CR,30,5,6,1.2,1,Rain,1,Infrastructure,HIGH,3,0,145.9,1
SIM000139,12259,BSL,CR,1,3,7,0.76,1,Storm,3,Operational,MEDIUM,0,0,1.0,0
SIM000140,12319,HWH,ER,9,5,23,1.03,0,Clear,0,Operational,HIGH,0,0,9.0,0
SIM000141,12176,BPL,WCR,42,6,6,0.44,1,Rain,1,Infrastructure,HIGH,3,0,325.4,1
SIM000142,12078,SC,SCR,13,7,10,1.14,1,Clear,0,Weather,HIGH,0,0,13.0,0
SIM000143,12088,MAS,SR,47,9,12,0.91,1,Clear,0,Rolling Stock,HIGH,3,0,419.1,0
SIM000144,12310,COR,WCR,35,5,8,0.44,1,Clear,0,Crew,MEDIUM,3,0,186.2,1
SIM000145,12084,NGP,CR,56,7,8,0.45,1,Rain,1,Passenger,HIGH,4,0,745.2,1
SIM000146,12206,KGP,SER,3,5,9,0.94,1,Heavy Rain,2,Crew,HIGH,0,0,3.0,0
SIM000147,12045,BSP,SECR,18,6,8,0.35,0,Fog,2,Signal,HIGH,1,0,42.0,1
SIM000148,12117,BPL,WCR,42,6,6,0.44,1,Rain,1,Infrastructure,HIGH,3,2,305.1,1
SIM000149,12213,ADI,WR,31,6,12,0.95,1,Clear,0,Infrastructure,HIGH,3,2,155.0,0
SIM000150,12172,MAS,SR,40,9,12,0.8,1,Heavy Rain,2,Rolling Stock,HIGH,3,0,302.3,0
SIM000151,12036,KGP,SER,33,5,9,0.13,1,Heavy Rain,2,Signal,HIGH,3,0,181.5,1
SIM000152,12007,COR,WCR,40,5,8,0.42,1,Heavy Rain,2,Signal,MEDIUM,3,0,252.7,1
SIM000153,12079,KGP,SER,47,5,9,1.02,1,Clear,0,Signal,HIGH,3,0,298.1,1
SIM000154,12178,MAS,SR,12,9,12,0.4,1,Clear,0,Infrastructure,HIGH,0,0,12.0,0
SIM000155,12067,BSP,SECR,92,6,8,0.76,0,Clear,0,Operational,HIGH,6,0,2740.1,1
SIM000156,12239,BZA,SCR,33,5,10,0.13,1,Clear,0,Crew,HIGH,3,0,196.6,1
SIM000157,12282,NGP,CR,35,7,8,0.56,1,Rain,1,Rolling Stock,HIGH,3,2,218.0,1
SIM000158,12257,MAO,KR,30,3,5,0.83,1,Clear,0,Passenger,MEDIUM,2,2,144.8,1
SIM000159,12020,PRYJ,NCR,10,6,10,0.85,1,Clear,0,Weather,HIGH,0,0,10.0,0
SIM000160,12100,PUNE,CR,59,5,6,0.96,1,Clear,0,Rolling Stock,HIGH,4,0,807.3,1
SIM000161,12027,RTM,WR,29,4,6,0.33,1,Rain,1,Infrastructure,MEDIUM,2,0,111.4,1
SIM000162,12243,NDLS,NR,66,9,16,0.22,0,Clear,0,Operational,HIGH,5,0,1456.5,1
SIM000163,12267,GHY,NFR,79,4,6,0.33,0,Clear,0,Passenger,HIGH,5,0,1378.5,1
SIM000164,12311,TATA,SER,44,2,6,0.71,0,Clear,0,Signal,MEDIUM,3,0,216.3,1
SIM000165,12042,DURG,SECR,26,2,6,0.94,0,Clear,0,Crew,MEDIUM,2,0,66.2,0
SIM000166,12307,BSP,SECR,13,6,8,1.12,1,Rain,1,Infrastructure,HIGH,1,0,18.0,0
SIM000167,12240,MAS,SR,64,9,12,1.09,1,Clear,0,Passenger,HIGH,5,2,1185.1,0
SIM000168,12291,NJP,NFR,30,2,6,0.14,1,Clear,0,Passenger,MEDIUM,2,2,108.2,1
SIM000169,12166,RTM,WR,31,4,6,0.54,1,Rain,1,Infrastructure,MEDIUM,2,0,131.3,1
SIM000170,12115,BCT,WR,9,6,7,0.97,1,Clear,0,Operational,HIGH,0,0,9.0,0
SIM000171,12178,ERS,SR,45,3,5,0.6,1,Fog,2,Signal,MEDIUM,3,0,414.4,0
SIM000172,12145,COR,WCR,27,5,8,0.66,1,Clear,0,Passenger,MEDIUM,2,0,98.6,1
SIM000173,12005,KYN,CR,68,5,8,0.5,1,Clear,0,Rolling Stock,HIGH,5,2,1248.2,1
SIM000174,12204,KGP,SER,21,5,9,0.37,1,Clear,0,Crew,HIGH,1,0,50.1,1
SIM000175,12159,RTM,WR,1,4,6,0.44,1,Heavy Rain,2,Infrastructure,MEDIUM,0,0,1.0,0
SIM000176,12163,JHS,NCR,28,3,7,0.34,1,Clear,0,Weather,MEDIUM,2,2,136.1,1
SIM000177,12016,GHY,NFR,1,4,6,0.15,1,Storm,3,Weather,HIGH,0,0,1.0,0
SIM000178,12059,TVC,SR,59,5,5,1.04,0,Clear,0,Signal,HIGH,4,0,858.4,0
SIM000179,12031,UMB,NR,61,3,8,0.69,0,Heavy Rain,2,Passenger,MEDIUM,4,0,981.0,1
SIM000180,12062,UMB,NR,89,3,8,0.15,1,Clear,0,Infrastructure,MEDIUM,6,2,3557.5,1
SIM000181,12088,BBS,ECoR,25,6,6,0.21,1,Rain,1,Infrastructure,HIGH,2,0,80.6,1
SIM000182,12138,JP,NWR,50,6,7,0.31,1,Rain,1,Operational,HIGH,4,0,470.0,0
SIM000183,12181,GHY,NFR,15,4,6,1.13,1,Clear,0,Passenger,HIGH,1,0,28.4,1
SIM000184,12048,ADI,WR,16,6,12,0.71,1,Clear,0,Weather,HIGH,1,0,40.9,0
SIM000185,12071,AII,NWR,54,3,6,0.18,1,Clear,0,Passenger,MEDIUM,4,0,661.7,0
SIM000186,12094,DURG,SECR,23,2,6,0.54,1,Clear,0,Rolling Stock,MEDIUM,2,0,50.6,0
SIM000187,12316,MS,SR,25,2,10,0.85,1,Fog,2,Rolling Stock,MEDIUM,2,0,59.0,0
SIM000188,12230,TVC,SR,25,5,5,0.22,1,Clear,0,Signal,HIGH,2,0,68.6,0
SIM000189,12201,NJP,NFR,14,2,6,0.44,1,Clear,0,Signal,MEDIUM,1,0,21.9,0
SIM000190,12078,SC,SCR,33,7,10,0.41,1,Fog,2,Rolling Stock,HIGH,3,2,175.4,1
SIM000191,12057,KGP,SER,4,5,9,0.35,1,Clear,0,Crew,HIGH,0,0,4.0,0
SIM000192,12118,MAS,SR,31,9,12,0.7,0,Heavy Rain,2,Crew,HIGH,2,0,117.4,0
SIM000193,12233,HWH,ER,77,5,23,0.57,0,Storm,3,Crew,HIGH,5,0,2008.2,1
SIM000194,12197,MS,SR,84,2,10,0.33,1,Fog,2,Operational,MEDIUM,5,4,1893.2,0
SIM000195,12074,SC,SCR,1,7,10,1.21,1,Clear,0,Weather,HIGH,0,0,1.0,0
SIM000196,12107,MYS,SWR,19,2,5,0.37,1,Clear,0,Infrastructure,MEDIUM,1,0,36.1,0
SIM000197,12317,KGP,SER,72,5,9,0.26,0,Clear,0,Rolling Stock,HIGH,5,0,1231.8,1
SIM000198,12292,SC,SCR,19,7,10,0.62,0,Fog,2,Rolling Stock,HIGH,1,0,36.9,0
SIM000199,12079,DURG,SECR,58,2,6,0.51,1,Clear,0,Weather,MEDIUM,4,0,613.5,1
SIM000200,12212,NDLS,NR,1,9,16,0.91,1,Fog,2,Operational,HIGH,0,0,1.0,0
SIM000201,12107,SC,SCR,29,7,10,0.96,1,Rain,1,Passenger,HIGH,2,0,100.6,1
SIM000202,12049,ADI,WR,33,6,12,1.09,0,Clear,0,Operational,HIGH,3,0,181.7,1
SIM000203,12314,COR,WCR,1,5,8,0.4,0,Clear,0,Weather,MEDIUM,0,0,1.0,0
SIM000204,12164,BSP,SECR,4,6,8,1.27,0,Clear,0,Rolling Stock,HIGH,0,0,4.0,0
SIM000205,12082,GHY,NFR,11,4,6,1.0,0,Clear,0,Rolling Stock,HIGH,0,0,11.0,0
SIM000206,12182,COR,WCR,1,5,8,0.54,1,Clear,0,Rolling Stock,MEDIUM,0,0,1.0,0
SIM000207,12140,KGP,SER,28,5,9,0.82,1,Clear,0,Signal,HIGH,2,0,128.0,1
SIM000208,12224,COR,WCR,47,5,8,0.12,0,Fog,2,Passenger,MEDIUM,4,0,474.9,1
SIM000209,12284,SDAH,ER,19,3,20,0.97,0,Clear,0,Signal,HIGH,1,0,46.2,1
SIM000210,12298,SBC,SWR,7,4,10,0.64,0,Clear,0,Crew,HIGH,0,0,7.0,0
SIM000211,12154,R,SECR,5,3,7,0.77,0,Clear,0,Rolling Stock,MEDIUM,0,0,5.0,0
SIM000212,12198,LDH,NR,1,3,6,0.1,1,Clear,0,Weather,MEDIUM,0,0,1.0,0
SIM000213,12025,KYN,CR,44,5,8,0.81,1,Fog,2,Operational,HIGH,4,2,474.8,1
SIM000214,12212,PRYJ,NCR,1,6,10,0.49,1,Fog,2,Weather,HIGH,0,0,1.0,0
SIM000215,12211,JP,NWR,3,6,7,0.43,1,Fog,2,Infrastructure,HIGH,0,0,3.0,0
SIM000216,12289,DLI,NR,35,3,10,0.25,1,Clear,0,Infrastructure,HIGH,3,2,267.6,1
SIM000217,12137,SC,SCR,1,7,10,1.15,0,Rain,1,Rolling Stock,HIGH,0,0,1.0,0
SIM000218,12028,BPL,WCR,7,6,6,1.03,1,Clear,0,Operational,HIGH,0,0,7.0,0
SIM000219,12172,NDLS,NR,7,9,16,0.43,1,Clear,0,Infrastructure,HIGH,0,0,7.0,0
SIM000220,12059,TVC,SR,19,5,5,0.85,0,Fog,2,Infrastructure,HIGH,1,0,47.1,0
SIM000221,12097,BSL,CR,28,3,7,0.61,1,Clear,0,Infrastructure,MEDIUM,2,0,139.2,0
SIM000222,12172,MS,SR,11,2,10,0.61,1,Storm,3,Signal,MEDIUM,0,0,11.0,0
SIM000223,12030,CTC,ECoR,1,1,6,0.52,0,Clear,0,Signal,MEDIUM,0,0,1.0,0
SIM000224,12149,CTC,ECoR,57,1,6,0.31,1,Rain,1,Crew,MEDIUM,3,2,277.6,1
SIM000225,12084,DLI,NR,6,3,10,0.98,1,Storm,3,Infrastructure,HIGH,0,0,6.0,0
SIM000226,12317,MAS,SR,40,9,12,1.01,0,Clear,0,Infrastructure,HIGH,3,0,265.9,0
SIM000227,12199,MYS,SWR,54,2,5,0.9,1,Clear,0,Rolling Stock,MEDIUM,4,2,490.9,1
SIM000228,12041,PNBE,ECR,75,7,10,0.89,1,Clear,0,Rolling Stock,HIGH,5,2,1654.1,1
SIM000229,12042,HWH,ER,1,5,23,0.76,0,Clear,0,Operational,HIGH,0,0,1.0,0
SIM000230,12311,TATA,SER,1,2,6,0.84,0,Clear,0,Weather,MEDIUM,0,0,1.0,0
SIM000231,12307,NGP,CR,21,7,8,0.71,1,Heavy Rain,2,Passenger,HIGH,2,0,69.5,1
SIM000232,12203,PRYJ,NCR,1,6,10,0.25,1,Rain,1,Signal,HIGH,0,0,1.0,0
SIM000233,12222,R,SECR,23,3,7,0.55,1,Rain,1,Infrastructure,MEDIUM,2,0,61.3,1
SIM000234,12080,PRYJ,NCR,36,6,10,0.58,1,Clear,0,Signal,HIGH,3,0,265.4,1
SIM000235,12277,ASR,NR,41,4,6,0.89,0,Heavy Rain,2,Infrastructure,MEDIUM,3,0,244.4,0
SIM000236,12071,AII,NWR,37,3,6,0.9,1,Clear,0,Passenger,MEDIUM,3,0,204.2,0
SIM000237,12301,NDLS,NR,43,9,16,0.16,1,Clear,0,Operational,HIGH,4,2,409.4,1
SIM000238,12179,PNBE,ECR,8,7,10,0.17,1,Clear,0,Operational,HIGH,0,0,8.0,0
SIM000239,12042,DURG,SECR,21,2,6,0.5,0,Clear,0,Weather,MEDIUM,1,0,45.8,0
SIM000240,12007,AII,NWR,1,3,6,0.16,1,Clear,0,Crew,MEDIUM,0,0,1.0,0
SIM000241,12186,ADI,WR,20,6,12,0.84,1,Clear,0,Weather,HIGH,2,0,61.1,0
SIM000242,12149,CSMT,CR,18,8,18,1.05,1,Fog,2,Signal,HIGH,1,0,44.7,0
SIM000243,12070,JU,NWR,1,3,6,0.2,1,Fog,2,Infrastructure,MEDIUM,0,0,1.0,0
SIM000244,12118,JP,NWR,61,6,7,1.19,0,Storm,3,Signal,HIGH,5,0,1128.7,0
SIM000245,12024,SBC,SWR,44,4,10,0.79,1,Clear,0,Operational,HIGH,3,2,361.1,1
SIM000246,12262,SDAH,ER,41,3,20,0.56,1,Clear,0,Signal,HIGH,3,2,319.2,1
