track_id,source_station,dest_station,distance_km,track_type,max_speed_kmph,capacity_trains_per_hour,zone_crossing
TRK0072,TATA,KGP,127.8,Single Non-Electrified,80,4,False
TRK0073,KGP,ROU,254.2,Double Electrified,130,16,False
TRK0074,UBL,MYS,376.4,Double Non-Electrified,100,10,False
TRK0075,MYS,SBC,124.2,Double Electrified,130,22,False
TRK0076,SBC,UBL,373.1,Double Electrified,130,14,False
TRK0077,BVP,ADI,146.4,Double Electrified,130,17,False
TRK0078,ADI,BCT,451.4,Single Electrified,110,10,False
TRK0079,BCT,ST,247.6,Single Electrified,110,5,False
TRK0080,ST,RTM,328.5,Double Electrified,130,24,False
TRK0081,BCT,RTM,536.7,Single Electrified,110,6,False
TRK0082,BCT,BVP,318.5,Single Electrified,110,9,False
TRK0083,COR,BPL,263.7,Single Electrified,110,6,False
TRK0084,BPL,JBP,258.9,Double Electrified,130,10,False
TRK0085,JBP,COR,469.4,Double Electrified,130,24,False
TRK0086,RN,CDL,115.9,Single Non-Electrified,80,4,False
TRK0087,CDL,MAO,76.2,Double Non-Electrified,100,13,False
TRK0088,NGP,BSP,331.8,Single Electrified,110,5,True
TRK0089,NGP,R,264.1,Double Electrified,130,18,True
TRK0090,BZA,VSKP,315.5,Double Non-Electrified,100,16,True
TRK0091,SC,SBC,505.6,Single Non-Electrified,80,6,True
TRK0092,UBL,MAO,125.2,Single Non-Electrified,80,7,True
TRK0093,KYN,MAO,438.6,Double Non-Electrified,100,22,True
TRK0094,PRYJ,PNBE,329.9,Double Non-Electrified,100,24,True
TRK0095,GAYA,DHN,182.7,Double Electrified,130,12,False
TRK0096,DHN,ASN,54.8,Single Electrified,110,9,True
TRK0097,ROU,BSP,280.2,Double Non-Electrified,100,16,True
TRK0098,NDLS,PRYJ,580.3,Double Non-Electrified,100,23,True
TRK0099,JHS,BPL,269.7,Single Electrified,110,7,True
TRK0100,BPL,NGP,292.4,Double Electrified,130,22,True
TRK0101,JBP,BSP,256.7,Single Electrified,110,10,True
TRK0102,RTM,COR,222.1,Double Non-Electrified,100,23,True
TRK0103,COR,NDLS,407.8,Double Electrified,130,13,True
TRK0104,ADI,RTM,254.3,Double Non-Electrified,100,17,False
TRK0105,ST,ADI,204.9,Double Electrified,130,23,False
TRK0106,UMB,ASR,233.7,Double Non-Electrified,100,13,False
TRK0107,JP,COR,193.5,Double Electrified,130,20,True
TRK0108,AII,JU,162.0,Double Electrified,130,15,False
TRK0109,GKP,MFP,213.0,Double Electrified,130,11,True
TRK0110,NJP,MLDT,188.4,Single Non-Electrified,80,8,True
TRK0111,MLDT,ASN,192.3,Double Electrified,130,18,False
TRK0112,MAS,SC,520.0,Double Electrified,130,23,True
TRK0113,MDU,TVC,204.9,Single Electrified,110,4,False
TRK0114,CBE,ERS,136.5,Double Electrified,130,14,False
TRK0115,TPJ,CBE,189.4,Double Electrified,130,14,False
TRK0116,HWH,KGP,108.9,Double Electrified,130,19,True
TRK0117,SDAH,MLDT,273.9,Double Electrified,130,21,False
TRK0118,SDAH,NDLS,1305.4,Double Non-Electrified,100,16,True
TRK0119,NDLS,VSKP,1363.6,Single Electrified,110,12,True
TRK0120,VSKP,MAS,609.6,Double Electrified,130,24,True
TRK0121,MAS,KGP,1270.1,Single Electrified,110,8,True
TRK0122,KGP,PNBE,426.9,Double Electrified,130,16,True
TRK0123,PNBE,GKP,217.7,Double Electrified,130,24,True
TRK0124,GKP,GHY,834.7,Double Non-Electrified,100,20,True
TRK0125,GHY,ADI,1967.2,Single Electrified,110,7,True
TRK0126,ADI,JBP,753.1,Double Electrified,130,11,True
TRK0127,BSP,PRYJ,375.7,Single Non-Electrified,80,9,True
TRK0128,PRYJ,PUNE,1125.9,Single Electrified,110,5,True
TRK0129,PUNE,BZA,749.0,Single Electrified,110,8,True
TRK0130,BZA,BPL,822.3,Single Electrified,110,10,True
TRK0131,BPL,SBC,1144.5,Double Electrified,130,21,True
TRK0132,SC,CSMT,621.4,Double Electrified,130,12,True
TRK0133,CSMT,DLI,1169.3,Double Electrified,130,20,True
TRK0134,DLI,NGP,855.7,Single Non-Electrified,80,6,True
TRK0135,NGP,BCT,698.1,Single Electrified,110,8,True
TRK0136,BCT,BBS,1370.2,Double Electrified,130,23,True
TRK0137,BBS,KYN,1333.3,Double Electrified,130,14,True
TRK0138,KYN,JP,895.5,Double Electrified,130,22,True
TRK0139,JP,TVC,2053.2,Single Electrified,110,9,True
