station_id,station_name,zone_id,zone_name,latitude,longitude,platform_count,traffic_category,capacity_trains_per_hour
MAS,Chennai Central,SR,Southern Railway,13.0827,80.2755,12,HIGH,29
MS,Chennai Egmore,SR,Southern Railway,13.0732,80.2609,10,MEDIUM,14
TPJ,Tiruchchirapalli Junction,SR,Southern Railway,10.8038,78.6857,7,MEDIUM,10
MDU,Madurai Junction,SR,Southern Railway,9.9252,78.1198,6,MEDIUM,9
CBE,Coimbatore Junction,SR,Southern Railway,11.0018,76.9629,6,MEDIUM,10
TVC,Thiruvananthapuram Central,SR,Southern Railway,8.4875,76.9525,5,HIGH,20
ERS,Ernakulam Junction,SR,Southern Railway,9.9714,76.2842,5,MEDIUM,14
SC,Secunderabad Junction,SCR,South Central Railway,17.4344,78.5008,10,HIGH,27
HYB,Hyderabad Deccan,SCR,South Central Railway,17.3819,78.4867,6,MEDIUM,16
BZA,Vijayawada Junction,SCR,South Central Railway,16.5175,80.6167,10,HIGH,28
GNT,Guntur Junction,SCR,South Central Railway,16.3067,80.4365,5,LOW,7
NLDA,Nalgonda,SCR,South Central Railway,17.0575,79.267,3,LOW,4
BSP,Bilaspur Junction,SECR,South East Central Railway,22.0797,82.1391,8,HIGH,24
R,Raipur Junction,SECR,South East Central Railway,21.2379,81.6337,7,MEDIUM,12
DURG,Durg Junction,SECR,South East Central Railway,21.1904,81.2849,6,MEDIUM,10
KGP,Kharagpur Junction,SER,South Eastern Railway,22.3302,87.3237,9,HIGH,19
TATA,Tatanagar Junction,SER,South Eastern Railway,22.7925,86.1842,6,MEDIUM,17
ROU,Rourkela,SER,South Eastern Railway,22.2604,84.8536,5,LOW,3
SBC,KSR Bengaluru City Junction,SWR,South Western Railway,12.9767,77.5713,10,HIGH,26
UBL,Hubballi Junction,SWR,South Western Railway,15.3487,75.124,6,MEDIUM,13
MYS,Mysuru Junction,SWR,South Western Railway,12.3072,76.6553,5,MEDIUM,9
BCT,Mumbai Central,WR,Western Railway,18.9694,72.8202,7,HIGH,30
ADI,Ahmedabad Junction,WR,Western Railway,23.0225,72.5714,12,HIGH,18
ST,Surat,WR,Western Railway,21.1959,72.8302,5,MEDIUM,9
RTM,Ratlam Junction,WR,Western Railway,23.3315,75.0367,6,MEDIUM,9
BVP,Bhavnagar Terminus,WR,Western Railway,21.7645,72.1519,4,LOW,3
JBP,Jabalpur Junction,WCR,West Central Railway,23.1687,79.9333,7,HIGH,28
BPL,Bhopal Junction,WCR,West Central Railway,23.268,77.402,6,HIGH,20
COR,Kota Junction,WCR,West Central Railway,25.1804,75.8648,8,MEDIUM,14
CDL,Kudal,KR,Konkan Railway,16.0092,73.68,3,LOW,7
MAO,Madgaon Junction,KR,Konkan Railway,15.3781,73.9564,5,MEDIUM,14
RN,Ratnagiri,KR,Konkan Railway,16.9902,73.312,4,LOW,5
