route_id,train_number,sequence_no,station_id,distance_from_origin_km,scheduled_arrival,scheduled_departure,halt_minutes
12013_02,12013,2,COR,222.1,08:42,08:44,2
12013_03,12013,3,JP,415.6,11:17,11:19,2
12013_04,12013,4,TVC,2468.8,14:40,14:42,2
12013_05,12013,5,MDU,2673.7,17:23,17:23,0
12014_01,12014,1,NJP,0.0,20:30,20:30,0
12014_02,12014,2,GHY,334.0,06:02,06:04,2
12014_03,12014,3,ADI,2301.2,14:14,14:16,2
12014_04,12014,4,BCT,2752.6,03:08,03:10,2
12014_05,12014,5,BBS,4122.9,18:17,18:19,2
12014_06,12014,6,CTC,4145.4,18:56,18:56,0
12015_01,12015,1,MYS,0.0,07:30,07:30,0
12015_02,12015,2,SBC,124.2,09:09,09:11,2
12015_03,12015,3,SC,629.8,15:53,15:55,2
12015_04,12015,4,MAS,1149.7,22:49,22:51,2
12015_05,12015,5,MS,1151.6,22:51,22:51,0
12016_01,12016,1,NJP,0.0,07:30,07:30,0
12016_02,12016,2,GHY,334.0,15:50,15:52,2
12016_03,12016,3,ADI,2301.2,17:01,17:03,2
12016_04,12016,4,BCT,2752.6,04:18,04:20,2
12016_05,12016,5,NGP,3450.8,21:46,21:48,2
12016_06,12016,6,SUR,3962.7,10:34,10:34,0
12017_01,12017,1,LDH,0.0,02:15,02:15,0
12017_02,12017,2,UMB,110.1,04:41,04:41,0
12018_01,12018,1,BWN,0.0,04:15,04:15,0
12018_02,12018,2,MLDT,201.0,07:35,07:37,2
12018_03,12018,3,SDAH,474.9,12:09,12:11,2
12018_04,12018,4,NDLS,1780.2,09:55,09:57,2
12018_05,12018,5,VSKP,3143.8,08:38,08:40,2
12018_06,12018,6,BBS,3532.2,15:07,15:07,0
12019_01,12019,1,SUR,0.0,17:45,17:45,0
12019_02,12019,2,NGP,512.0,00:34,00:36,2
12019_03,12019,3,BSP,843.8,05:00,05:02,2
12019_04,12019,4,PRYJ,1219.5,10:00,10:02,2
12019_05,12019,5,PNBE,1549.4,14:24,14:26,2
12019_06,12019,6,GKP,1767.0,17:18,17:18,0
12020_01,12020,1,GKP,0.0,13:45,13:45,0
12020_02,12020,2,PNBE,217.7,17:22,17:24,2
12020_03,12020,3,PRYJ,547.6,22:52,22:54,2
12020_04,12020,4,PUNE,1673.5,17:38,17:40,2
12020_05,12020,5,DD,1748.4,18:53,18:55,2
12020_06,12020,6,BSL,2061.7,00:06,00:06,0
12021_01,12021,1,MAO,0.0,22:00,22:00,0
12021_02,12021,2,UBL,125.2,23:40,23:42,2
12021_03,12021,3,MYS,501.7,04:41,04:41,0
12022_01,12022,1,JBP,0.0,12:45,12:45,0
12022_02,12022,2,COR,469.4,02:09,02:09,0
12023_01,12023,1,CSMT,0.0,12:45,12:45,0
12023_02,12023,2,DLI,1169.3,08:14,08:16,2
12023_03,12023,3,NDLS,1171.4,08:16,08:18,2
12023_04,12023,4,ASR,1573.3,14:58,14:58,0
12024_01,12024,1,TPJ,0.0,19:15,19:15,0
12024_02,12024,2,MAS,306.8,02:55,02:57,2
12024_03,12024,3,SC,826.8,15:55,15:57,2
12024_04,12024,4,SBC,1332.4,04:33,04:33,0
12025_01,12025,1,AII,0.0,15:00,15:00,0
12025_02,12025,2,JP,125.2,17:05,17:07,2
12025_03,12025,3,KYN,1020.7,08:00,08:02,2
12025_04,12025,4,BBS,2354.0,06:14,06:14,0
12026_01,12026,1,AGC,0.0,12:15,12:15,0
12026_02,12026,2,PRYJ,429.4,22:59,23:01,2
12026_03,12026,3,NDLS,1009.7,13:29,13:31,2
12026_04,12026,4,LDH,1293.1,20:34,20:34,0
12027_01,12027,1,RTM,0.0,19:00,19:00,0
12027_02,12027,2,COR,222.1,23:56,23:58,2
12027_03,12027,3,JP,415.6,04:14,04:14,0
12028_01,12028,1,JHS,0.0,00:00,00:00,0
12028_02,12028,2,BPL,269.7,03:35,03:37,2
12028_03,12028,3,COR,533.4,07:06,07:08,2
12028_04,12028,4,JP,726.9,09:41,09:43,2
12028_05,12028,5,TVC,2780.1,13:04,13:04,0
12029_01,12029,1,BZA,0.0,14:15,14:15,0
12029_02,12029,2,BPL,822.3,03:57,03:59,2
12029_03,12029,3,JBP,1081.2,08:16,08:18,2
12029_04,12029,4,ADI,1834.3,20:49,20:51,2
12029_05,12029,5,GHY,3801.6,05:36,05:36,0
12030_01,12030,1,BSL,0.0,06:45,06:45,0
12030_02,12030,2,CSMT,387.0,13:11,13:13,2
12030_03,12030,3,KYN,433.2,13:58,14:00,2
12030_04,12030,4,BBS,1766.5,12:11,12:13,2
12030_05,12030,5,CTC,1789.0,12:34,12:34,0
12031_01,12031,1,UMB,0.0,12:30,12:30,0
12031_02,12031,2,LDH,110.1,15:38,15:38,0
12032_01,12032,1,UBL,0.0,02:45,02:45,0
12032_02,12032,2,SBC,373.1,07:43,07:45,2
12032_03,12032,3,BPL,1517.5,22:59,23:01,2
12032_04,12032,4,COR,1781.2,02:29,02:31,2
12032_05,12032,5,RTM,2003.3,05:27,05:27,0
12033_01,12033,1,PUNE,0.0,11:15,11:15,0
12033_02,12033,2,CSMT,118.6,12:49,12:51,2
12033_03,12033,3,SC,740.0,21:06,21:08,2
12033_04,12033,4,SBC,1245.6,03:51,03:51,0
12034_01,12034,1,BZA,0.0,20:00,20:00,0
12034_02,12034,2,SC,247.0,03:03,03:05,2
12034_03,12034,3,CSMT,868.4,20:48,20:50,2
12034_04,12034,4,SUR,1222.5,06:55,06:55,0
12035_01,12035,1,UBL,0.0,06:00,06:00,0
12035_02,12035,2,MAO,125.2,08:46,08:48,2
12035_03,12035,3,KYN,563.8,18:31,18:33,2
12035_04,12035,4,PUNE,675.0,21:00,21:00,0
12036_01,12036,1,SC,0.0,15:00,15:00,0
12036_02,12036,2,MAS,520.0,23:39,23:41,2
12036_03,12036,3,KGP,1790.1,20:50,20:52,2
12036_04,12036,4,HWH,1898.9,22:38,22:40,2
12036_05,12036,5,BWN,1986.4,00:06,00:06,0
12037_01,12037,1,CBE,0.0,08:30,08:30,0
12037_02,12037,2,MAS,428.1,14:12,14:14,2
12037_03,12037,3,KGP,1698.2,07:08,07:10,2
12037_04,12037,4,PNBE,2125.1,12:50,12:52,2
12037_05,12037,5,DHN,2365.4,16:02,16:02,0
12038_01,12038,1,PNBE,0.0,23:00,23:00,0
12038_02,12038,2,KGP,426.9,09:40,09:42,2
12038_03,12038,3,MAS,1697.0,17:25,17:27,2
12038_04,12038,4,ERS,2252.6,07:18,07:18,0
12039_01,12039,1,MYS,0.0,09:00,09:00,0
12039_02,12039,2,SBC,124.2,11:04,11:06,2
12039_03,12039,3,BPL,1268.7,06:08,06:10,2
12039_04,12039,4,COR,1532.3,10:32,10:34,2
12039_05,12039,5,RTM,1754.4,14:14,14:16,2
12039_06,12039,6,ST,2082.9,19:42,19:42,0
12040_01,12040,1,TVC,0.0,18:45,18:45,0
12040_02,12040,2,JP,2053.2,16:22,16:24,2
12040_03,12040,3,KYN,2948.7,12:16,12:18,2
12040_04,12040,4,PUNE,3059.9,14:44,14:44,0
12041_01,12041,1,JHS,0.0,18:15,18:15,0
12041_02,12041,2,PRYJ,329.9,23:44,23:46,2
12041_03,12041,3,PNBE,659.8,05:14,05:16,2
12041_04,12041,4,KGP,1086.7,12:21,12:21,0
12042_01,12042,1,HWH,0.0,21:00,21:00,0
12042_02,12042,2,KGP,108.9,00:06,00:08,2
12042_03,12042,3,ROU,363.1,07:22,07:24,2
12042_04,12042,4,BSP,643.4,15:22,15:24,2
12042_05,12042,5,DURG,775.9,19:10,19:10,0
12043_01,12043,1,BCT,0.0,11:45,11:45,0
12043_02,12043,2,BBS,1370.2,02:53,02:55,2
12043_03,12043,3,VSKP,1758.7,13:59,14:01,2
12043_04,12043,4,MAS,2368.2,07:24,07:26,2
12043_05,12043,5,CBE,2796.4,19:38,19:38,0
12044_01,12044,1,BSP,0.0,20:30,20:30,0
12044_02,12044,2,PRYJ,375.7,00:27,00:27,0
12045_01,12045,1,CSMT,0.0,15:00,15:00,0
12045_02,12045,2,NGP,697.9,00:18,00:20,2
12045_03,12045,3,BSP,1029.7,04:43,04:45,2
12045_04,12045,4,JBP,1286.4,08:09,08:09,0
12046_01,12046,1,GHY,0.0,14:15,14:15,0
12046_02,12046,2,GKP,834.7,11:07,11:09,2
12046_03,12046,3,PNBE,1052.4,16:33,16:35,2
12046_04,12046,4,PRYJ,1382.3,00:48,00:48,0
12047_01,12047,1,GHY,0.0,20:30,20:30,0
12047_02,12047,2,GKP,834.7,17:22,17:24,2
12047_03,12047,3,MFP,1047.8,22:41,22:41,0
12048_01,12048,1,SC,0.0,15:45,15:45,0
12048_02,12048,2,BZA,247.0,21:14,21:16,2
12048_03,12048,3,BPL,1069.4,15:30,15:32,2
12048_04,12048,4,JBP,1328.3,21:16,21:18,2
12048_05,12048,5,ADI,2081.4,14:00,14:00,0
12049_01,12049,1,GHY,0.0,08:30,08:30,0
12049_02,12049,2,ADI,1967.2,09:40,09:42,2
12049_03,12049,3,ST,2172.1,14:48,14:48,0
12050_01,12050,1,JBP,0.0,02:30,02:30,0
12050_02,12050,2,ADI,753.1,00:01,00:03,2
12050_03,12050,3,BCT,1204.5,12:54,12:56,2
12050_04,12050,4,BBS,2574.7,04:03,04:05,2
12050_05,12050,5,PURI,2625.8,05:31,05:31,0
12051_01,12051,1,COR,0.0,14:45,14:45,0
12051_02,12051,2,JBP,469.4,22:34,22:36,2
12051_03,12051,3,ADI,1222.5,11:07,11:09,2
12051_04,12051,4,GHY,3189.7,19:54,19:56,2
12051_05,12051,5,NJP,3523.7,01:28,01:28,0
12052_01,12052,1,LDH,0.0,10:15,10:15,0
12052_02,12052,2,NDLS,283.4,14:01,14:03,2
12052_03,12052,3,PRYJ,863.7,21:45,21:47,2
12052_04,12052,4,PUNE,1989.6,12:46,12:46,0
12053_01,12053,1,AII,0.0,08:30,08:30,0
12053_02,12053,2,JP,125.2,10:35,10:37,2
12053_03,12053,3,COR,318.7,13:48,13:50,2
12053_04,12053,4,NDLS,726.5,20:36,20:38,2
12053_05,12053,5,PRYJ,1306.8,06:16,06:18,2
12053_06,12053,6,PNBE,1636.7,11:46,11:48,2
12053_07,12053,7,DHN,1877.0,15:46,15:46,0
12054_01,12054,1,VSKP,0.0,08:00,08:00,0
12054_02,12054,2,NDLS,1363.6,02:10,02:12,2
12054_03,12054,3,COR,1771.3,07:37,07:37,0
12055_01,12055,1,MS,0.0,23:45,23:45,0
12055_02,12055,2,MAS,1.9,23:46,23:48,2
12055_03,12055,3,KGP,1272.0,13:08,13:10,2
12055_04,12055,4,PNBE,1698.9,17:37,17:39,2
12055_05,12055,5,GAYA,1790.4,18:35,18:35,0
12056_01,12056,1,AII,0.0,22:45,22:45,0
12056_02,12056,2,JP,125.2,02:19,02:21,2
12056_03,12056,3,TVC,2178.4,12:59,13:01,2
12056_04,12056,4,MDU,2383.3,18:50,18:50,0
12057_01,12057,1,BZA,0.0,00:00,00:00,0
12057_02,12057,2,SC,247.0,03:17,03:19,2
12057_03,12057,3,MAS,767.0,10:13,10:15,2
12057_04,12057,4,KGP,2037.1,03:09,03:09,0
12058_01,12058,1,NDLS,0.0,07:30,07:30,0
12058_02,12058,2,VSKP,1363.6,01:40,01:42,2
12058_03,12058,3,BBS,1752.0,06:51,06:51,0
12059_01,12059,1,BSP,0.0,17:30,17:30,0
12059_02,12059,2,ROU,280.2,22:10,22:12,2
12059_03,12059,3,KGP,534.5,02:24,02:26,2
12059_04,12059,4,MAS,1804.6,23:34,23:36,2
12059_05,12059,5,TVC,2431.3,10:01,10:01,0
12060_01,12060,1,GHY,0.0,11:45,11:45,0
12060_02,12060,2,ADI,1967.2,13:58,14:00,2
12060_03,12060,3,JBP,2720.3,00:01,00:03,2
12060_04,12060,4,BPL,2979.2,03:28,03:30,2
12060_05,12060,5,SBC,4123.7,18:43,18:43,0
12061_01,12061,1,VSKP,0.0,03:15,03:15,0
12061_02,12061,2,NDLS,1363.6,01:58,02:00,2
12061_03,12061,3,DLI,1365.6,02:00,02:00,0
12062_01,12062,1,UMB,0.0,22:15,22:15,0
12062_02,12062,2,NDLS,193.7,03:05,03:07,2
12062_03,12062,3,SDAH,1499.1,11:43,11:43,0
12063_01,12063,1,GAYA,0.0,08:30,08:30,0
12063_02,12063,2,DHN,182.7,13:04,13:04,0
12064_01,12064,1,HWH,0.0,07:30,07:30,0
12064_02,12064,2,SDAH,3.1,07:33,07:35,2
12064_03,12064,3,NDLS,1308.5,05:18,05:20,2
12064_04,12064,4,COR,1716.3,12:06,12:08,2
12064_05,12064,5,RTM,1938.4,15:48,15:48,0
12065_01,12065,1,MFP,0.0,17:15,17:15,0
12065_02,12065,2,PNBE,62.4,17:56,17:58,2
12065_03,12065,3,PRYJ,392.3,21:36,21:38,2
12065_04,12065,4,NDLS,972.6,04:03,04:05,2
12065_05,12065,5,DLI,974.7,04:04,04:04,0
12066_01,12066,1,VSKP,0.0,17:30,17:30,0
12066_02,12066,2,BBS,388.4,02:07,02:09,2
12066_03,12066,3,BCT,1758.7,08:34,08:36,2
12066_04,12066,4,NGP,2456.8,00:05,00:05,0
12067_01,12067,1,DURG,0.0,15:00,15:00,0
12067_02,12067,2,BSP,132.6,18:18,18:20,2
12067_03,12067,3,ROU,412.8,01:19,01:21,2
12067_04,12067,4,KGP,667.1,07:40,07:42,2
12067_05,12067,5,HWH,775.9,10:23,10:25,2
12067_06,12067,6,ASN,963.0,15:04,15:04,0
12068_01,12068,1,BPL,0.0,15:45,15:45,0
12068_02,12068,2,NGP,292.4,19:38,19:40,2
12068_03,12068,3,CSMT,990.2,04:57,04:57,0
12069_01,12069,1,NJP,0.0,01:30,01:30,0
12069_02,12069,2,MLDT,188.4,04:38,04:40,2
12069_03,12069,3,SDAH,462.3,09:12,09:14,2
12069_04,12069,4,NDLS,1767.7,06:57,06:59,2
12069_05,12069,5,LDH,2051.1,11:41,11:41,0
12070_01,12070,1,BPL,0.0,02:45,02:45,0
12070_02,12070,2,COR,263.7,07:08,07:10,2
12070_03,12070,3,JP,457.2,10:22,10:24,2
12070_04,12070,4,JU,740.8,15:05,15:05,0
12071_01,12071,1,AII,0.0,21:00,21:00,0
12071_02,12071,2,JP,125.2,22:40,22:42,2
12071_03,12071,3,KYN,1020.7,10:36,10:38,2
12071_04,12071,4,CSMT,1066.9,11:13,11:15,2
12071_05,12071,5,SUR,1421.0,15:56,15:56,0
12072_01,12072,1,BWN,0.0,09:00,09:00,0
12072_02,12072,2,MLDT,201.0,11:40,11:42,2
12072_03,12072,3,NJP,389.4,14:11,14:13,2
12072_04,12072,4,GHY,723.4,18:38,18:40,2
12072_05,12072,5,ADI,2690.6,20:52,20:52,0
12073_01,12073,1,PURI,0.0,13:15,13:15,0
12073_02,12073,2,BAM,121.9,14:52,14:54,2
12073_03,12073,3,VSKP,358.5,18:01,18:03,2
12073_04,12073,4,NDLS,1722.1,12:12,12:14,2
12073_05,12073,5,SDAH,3027.5,05:36,05:36,0
12074_01,12074,1,MYS,0.0,14:30,14:30,0
12074_02,12074,2,SBC,124.2,16:34,16:36,2
12074_03,12074,3,SC,629.8,00:59,01:01,2
12074_04,12074,4,MAS,1149.7,09:39,09:41,2
12074_05,12074,5,MS,1151.6,09:41,09:41,0
12075_01,12075,1,BPL,0.0,09:00,09:00,0
12075_02,12075,2,COR,263.7,14:51,14:53,2
12075_03,12075,3,JP,457.2,19:09,19:11,2
12075_04,12075,4,TVC,2510.4,16:47,16:47,0
12076_01,12076,1,SC,0.0,06:15,06:15,0
12076_02,12076,2,SBC,505.6,11:34,11:34,0
12077_01,12077,1,CTC,0.0,07:15,07:15,0
12077_02,12077,2,BBS,22.5,07:29,07:31,2
12077_03,12077,3,BCT,1392.7,21:54,21:56,2
12077_04,12077,4,NGP,2090.9,05:15,05:17,2
12077_05,12077,5,BSP,2422.7,08:45,08:45,0
12078_01,12078,1,MDU,0.0,13:45,13:45,0
12078_02,12078,2,MAS,422.4,20:47,20:49,2
12078_03,12078,3,SC,942.4,05:27,05:29,2
12078_04,12078,4,CSMT,1563.8,15:48,15:50,2
12078_05,12078,5,SUR,1917.8,21:42,21:42,0
12079_01,12079,1,DURG,0.0,01:15,01:15,0
12079_02,12079,2,BSP,132.6,03:01,03:03,2
12079_03,12079,3,ROU,412.8,06:45,06:47,2
12079_04,12079,4,KGP,667.1,10:08,10:10,2
12079_05,12079,5,MAS,1937.1,03:04,03:06,2
12079_06,12079,6,ERS,2492.8,10:29,10:29,0
12080_01,12080,1,NDLS,0.0,14:00,14:00,0
12080_02,12080,2,PRYJ,580.3,23:40,23:42,2
12080_03,12080,3,PNBE,910.2,05:10,05:12,2
12080_04,12080,4,KGP,1337.1,12:17,12:17,0
12081_01,12081,1,R,0.0,20:15,20:15,0
12081_02,12081,2,NGP,264.1,02:07,02:09,2
12081_03,12081,3,BCT,962.2,17:37,17:39,2
12081_04,12081,4,BBS,2332.4,00:04,00:04,0
12082_01,12082,1,GHY,0.0,20:15,20:15,0
12082_02,12082,2,NJP,334.0,00:42,00:44,2
12082_03,12082,3,MLDT,522.4,03:12,03:14,2
12082_04,12082,4,SDAH,796.3,06:52,06:52,0
12083_01,12083,1,VSKP,0.0,01:15,01:15,0
12083_02,12083,2,BBS,388.4,07:43,07:45,2
12083_03,12083,3,BCT,1758.7,06:33,06:35,2
12083_04,12083,4,ST,2006.3,10:41,10:41,0
12084_01,12084,1,BCT,0.0,18:30,18:30,0
12084_02,12084,2,NGP,698.1,03:48,03:50,2
12084_03,12084,3,DLI,1553.8,15:13,15:13,0
12085_01,12085,1,NJP,0.0,09:45,09:45,0
12085_02,12085,2,MLDT,188.4,12:15,12:17,2
12085_03,12085,3,SDAH,462.3,15:54,15:54,0
12086_01,12086,1,VSKP,0.0,14:00,14:00,0
12086_02,12086,2,MAS,609.6,22:07,22:07,0
12087_01,12087,1,ERS,0.0,23:30,23:30,0
12087_02,12087,2,MAS,555.6,11:50,11:52,2
12087_03,12087,3,SC,1075.6,23:24,23:26,2
12087_04,12087,4,CSMT,1697.0,13:12,13:14,2
12087_05,12087,5,NGP,2394.9,04:43,04:43,0
12088_01,12088,1,ERS,0.0,07:00,07:00,0
12088_02,12088,2,MAS,555.6,13:10,13:12,2
12088_03,12088,3,VSKP,1165.2,19:56,19:58,2
12088_04,12088,4,BBS,1553.7,00:15,00:17,2
12088_05,12088,5,CTC,1576.2,00:30,00:30,0
12089_01,12089,1,UBL,0.0,18:00,18:00,0
12089_02,12089,2,SBC,373.1,04:39,04:41,2
12089_03,12089,3,BPL,1517.5,13:21,13:23,2
12089_04,12089,4,NGP,1809.9,21:42,21:44,2
12089_05,12089,5,R,2074.0,05:15,05:15,0
12090_01,12090,1,UBL,0.0,20:45,20:45,0
12090_02,12090,2,SBC,373.1,01:43,01:45,2
12090_03,12090,3,SC,878.7,08:27,08:29,2
12090_04,12090,4,MAS,1398.6,15:23,15:25,2
12090_05,12090,5,KGP,2668.7,08:19,08:21,2
12090_06,12090,6,PNBE,3095.6,14:01,14:03,2
12090_07,12090,7,MFP,3158.1,14:51,14:51,0
12091_01,12091,1,VSKP,0.0,13:45,13:45,0
12091_02,12091,2,NDLS,1363.6,20:03,20:05,2
12091_03,12091,3,PRYJ,1943.9,08:56,08:58,2
12091_04,12091,4,PNBE,2273.8,16:16,16:18,2
12091_05,12091,5,MFP,2336.2,17:39,17:39,0
12092_01,12092,1,KYN,0.0,10:30,10:30,0
12092_02,12092,2,JP,895.5,01:25,01:27,2
12092_03,12092,3,JU,1179.1,06:09,06:09,0
12093_01,12093,1,BSP,0.0,10:45,10:45,0
12093_02,12093,2,ROU,280.2,16:58,17:00,2
12093_03,12093,3,KGP,534.5,22:37,22:39,2
12093_04,12093,4,HWH,643.4,01:02,01:02,0
12094_01,12094,1,DURG,0.0,12:00,12:00,0
12094_02,12094,2,BSP,132.6,14:12,14:14,2
12094_03,12094,3,JBP,389.3,18:29,18:31,2
12094_04,12094,4,COR,858.7,02:18,02:20,2
12094_05,12094,5,JP,1052.3,05:32,05:34,2
12094_06,12094,6,AII,1177.4,07:37,07:37,0
12095_01,12095,1,JP,0.0,10:00,10:00,0
12095_02,12095,2,KYN,895.5,00:55,00:55,0
12096_01,12096,1,MYS,0.0,00:45,00:45,0
12096_02,12096,2,SBC,124.2,03:30,03:32,2
12096_03,12096,3,BPL,1268.7,04:56,04:58,2
12096_04,12096,4,JHS,1538.4,10:56,10:56,0
12097_01,12097,1,GKP,0.0,11:45,11:45,0
12097_02,12097,2,PNBE,217.7,15:22,15:24,2
12097_03,12097,3,PRYJ,547.6,20:52,20:54,2
12097_04,12097,4,PUNE,1673.5,15:38,15:40,2
12097_05,12097,5,DD,1748.4,16:53,16:55,2
12097_06,12097,6,BSL,2061.7,22:06,22:06,0
12098_01,12098,1,HYB,0.0,06:30,06:30,0
12098_02,12098,2,SC,6.0,06:40,06:42,2
12098_03,12098,3,MAS,526.0,21:31,21:33,2
12098_04,12098,4,KGP,1796.1,09:48,09:50,2
12098_05,12098,5,HWH,1905.0,12:55,12:57,2
12098_06,12098,6,MLDT,2176.7,20:41,20:43,2
12098_07,12098,7,NJP,2365.1,02:04,02:04,0
12099_01,12099,1,MDU,0.0,14:45,14:45,0
12099_02,12099,2,MAS,422.4,00:08,00:10,2
12099_03,12099,3,KGP,1692.5,04:21,04:23,2
12099_04,12099,4,HWH,1801.4,06:46,06:48,2
12099_05,12099,5,ASN,1988.4,10:56,10:56,0
12100_01,12100,1,SDAH,0.0,19:15,19:15,0
12100_02,12100,2,NDLS,1305.4,00:15,00:17,2
12100_03,12100,3,PRYJ,1885.7,13:09,13:11,2
12100_04,12100,4,PUNE,3011.6,14:10,14:10,0
12101_01,12101,1,KGP,0.0,00:45,00:45,0
12101_02,12101,2,PNBE,426.9,07:51,07:51,0
12102_01,12102,1,KYN,0.0,03:45,03:45,0
12102_02,12102,2,BBS,1333.3,09:22,09:22,0
12103_01,12103,1,SDAH,0.0,15:30,15:30,0
12103_02,12103,2,NDLS,1305.4,04:47,04:49,2
12103_03,12103,3,VSKP,2668.9,19:45,19:47,2
12103_04,12103,4,BZA,2984.4,04:46,04:46,0
12104_01,12104,1,MAS,0.0,15:45,15:45,0
12104_02,12104,2,KGP,1270.1,12:55,12:55,0
12105_01,12105,1,PURI,0.0,12:15,12:15,0
12105_02,12105,2,BBS,51.1,12:55,12:57,2
12105_03,12105,3,KYN,1384.4,06:42,06:44,2
12105_04,12105,4,JP,2279.9,18:38,18:38,0
12106_01,12106,1,ERS,0.0,04:00,04:00,0
12106_02,12106,2,MAS,555.6,17:53,17:53,0
12107_01,12107,1,VSKP,0.0,13:30,13:30,0
12107_02,12107,2,BZA,315.5,22:30,22:32,2
12107_03,12107,3,SC,562.5,05:34,05:36,2
12107_04,12107,4,SBC,1068.1,20:01,20:03,2
12107_05,12107,5,MYS,1192.3,23:33,23:33,0
12108_01,12108,1,BCT,0.0,00:30,00:30,0
12108_02,12108,2,BBS,1370.2,23:20,23:22,2
12108_03,12108,3,VSKP,1758.7,05:48,05:50,2
12108_04,12108,4,MAS,2368.2,15:58,15:58,0
12109_01,12109,1,TATA,0.0,18:45,18:45,0
12109_02,12109,2,ROU,148.9,23:00,23:02,2
12109_03,12109,3,BSP,429.2,07:00,07:02,2
12109_04,12109,4,NGP,761.0,16:29,16:31,2
12109_05,12109,5,DLI,1616.6,16:56,16:56,0
12110_01,12110,1,BPL,0.0,15:30,15:30,0
12110_02,12110,2,COR,263.7,19:00,19:02,2
12110_03,12110,3,NDLS,671.4,00:27,00:29,2
12110_04,12110,4,SDAH,1976.8,17:51,17:53,2
12110_05,12110,5,HWH,1980.0,17:53,17:55,2
12110_06,12110,6,BWN,2067.4,19:03,19:03,0
12111_01,12111,1,LDH,0.0,12:45,12:45,0
12111_02,12111,2,NDLS,283.4,20:50,20:52,2
12111_03,12111,3,VSKP,1647.0,11:48,11:50,2
12111_04,12111,4,MAS,2256.5,05:13,05:15,2
12111_05,12111,5,MDU,2678.9,17:17,17:17,0
12112_01,12112,1,UMB,0.0,22:15,22:15,0
12112_02,12112,2,NDLS,193.7,01:28,01:30,2
12112_03,12112,3,COR,601.5,08:16,08:18,2
12112_04,12112,4,BPL,865.2,12:40,12:40,0
12113_01,12113,1,CBE,0.0,13:00,13:00,0
12113_02,12113,2,MAS,428.1,20:08,20:10,2
12113_03,12113,3,VSKP,1037.7,06:17,06:19,2
